week,user_team,matchup,home_away
1,ARI,BUF,away
2,ARI,LAR,home
3,ARI,DET,home
4,ARI,WSH,home
5,ARI,SF,away
6,ARI,GB,away
7,ARI,LAC,home
8,ARI,MIA,away
9,ARI,CHI,home
10,ARI,NYJ,home
11,ARI,BYE,BYE
12,ARI,SEA,away
13,ARI,MIN,away
14,ARI,SEA,home
15,ARI,NE,home
16,ARI,CAR,away
17,ARI,LAR,away
18,ARI,SF,home
1,ATL,PIT,home
2,ATL,PHI,away
3,ATL,KC,home
4,ATL,NO,home
5,ATL,TB,home
6,ATL,CAR,away
7,ATL,SEA,home
8,ATL,TB,away
9,ATL,DAL,home
10,ATL,NO,away
11,ATL,DEN,away
12,ATL,BYE,BYE
13,ATL,LAC,home
14,ATL,MIN,away
15,ATL,LV,away
16,ATL,NYG,home
17,ATL,WSH,away
18,ATL,CAR,home
1,BAL,KC,away
2,BAL,LV,home
3,BAL,DAL,away
4,BAL,BUF,home
5,BAL,CIN,away
6,BAL,WSH,home
7,BAL,TB,away
8,BAL,CLE,away
9,BAL,DEN,home
10,BAL,CIN,home
11,BAL,PIT,away
12,BAL,LAC,away
13,BAL,PHI,home
14,BAL,BYE,BYE
15,BAL,NYG,away
16,BAL,PIT,home
17,BAL,HOU,away
18,BAL,CLE,home
1,BUF,ARI,home
2,BUF,MIA,away
3,BUF,JAX,home
4,BUF,BAL,away
5,BUF,HOU,away
6,BUF,NYJ,away
7,BUF,TEN,home
8,BUF,SEA,away
9,BUF,MIA,home
10,BUF,IND,away
11,BUF,KC,home
12,BUF,BYE,BYE
13,BUF,SF,home
14,BUF,LAR,away
15,BUF,DET,away
16,BUF,NE,home
17,BUF,NYJ,home
18,BUF,NE,away
1,CAR,NO,away
2,CAR,LAC,home
3,CAR,LV,away
4,CAR,CIN,home
5,CAR,CHI,away
6,CAR,ATL,home
7,CAR,WSH,away
8,CAR,DEN,away
9,CAR,NO,home
10,CAR,NYG,home
11,CAR,BYE,BYE
12,CAR,KC,home
13,CAR,TB,home
14,CAR,PHI,away
15,CAR,DAL,home
16,CAR,ARI,home
17,CAR,TB,away
18,CAR,ATL,away
1,CHI,TEN,home
2,CHI,HOU,away
3,CHI,IND,away
4,CHI,LAR,home
5,CHI,CAR,home
6,CHI,JAX,home
7,CHI,BYE,BYE
8,CHI,WSH,away
9,CHI,ARI,away
10,CHI,NE,home
11,CHI,GB,home
12,CHI,MIN,home
13,CHI,DET,away
14,CHI,SF,away
15,CHI,MIN,away
16,CHI,DET,home
17,CHI,SEA,home
18,CHI,GB,away
1,CIN,NE,home
2,CIN,KC,away
3,CIN,WSH,home
4,CIN,CAR,away
5,CIN,BAL,home
6,CIN,NYG,away
7,CIN,CLE,away
8,CIN,PHI,home
9,CIN,LV,home
10,CIN,BAL,away
11,CIN,LAC,away
12,CIN,BYE,BYE
13,CIN,PIT,home
14,CIN,DAL,away
15,CIN,TEN,away
16,CIN,CLE,home
17,CIN,DEN,home
18,CIN,PIT,away
1,CLE,DAL,home
2,CLE,JAX,away
3,CLE,NYG,home
4,CLE,LV,away
5,CLE,WSH,away
6,CLE,PHI,away
7,CLE,CIN,home
8,CLE,BAL,home
9,CLE,LAC,home
10,CLE,BYE,BYE
11,CLE,NO,away
12,CLE,PIT,home
13,CLE,DEN,away
14,CLE,PIT,away
15,CLE,KC,home
16,CLE,CIN,away
17,CLE,MIA,home
18,CLE,BAL,away
1,DAL,CLE,away
2,DAL,NO,home
3,DAL,BAL,home
4,DAL,NYG,away
5,DAL,PIT,away
6,DAL,DET,home
7,DAL,BYE,BYE
8,DAL,SF,away
9,DAL,ATL,away
10,DAL,PHI,home
11,DAL,HOU,home
12,DAL,WSH,away
13,DAL,NYG,home
14,DAL,CIN,home
15,DAL,CAR,away
16,DAL,TB,home
17,DAL,PHI,away
18,DAL,WSH,home
1,DEN,SEA,away
2,DEN,PIT,home
3,DEN,TB,away
4,DEN,NYJ,away
5,DEN,LV,home
6,DEN,LAC,home
7,DEN,NO,away
8,DEN,CAR,home
9,DEN,BAL,away
10,DEN,KC,away
11,DEN,ATL,home
12,DEN,LV,away
13,DEN,CLE,home
14,DEN,BYE,BYE
15,DEN,IND,home
16,DEN,LAC,away
17,DEN,CIN,away
18,DEN,KC,home
1,DET,LAR,home
2,DET,TB,home
3,DET,ARI,away
4,DET,SEA,home
5,DET,BYE,BYE
6,DET,DAL,away
7,DET,MIN,away
8,DET,TEN,home
9,DET,GB,away
10,DET,HOU,away
11,DET,JAX,home
12,DET,IND,away
13,DET,CHI,home
14,DET,GB,home
15,DET,BUF,home
16,DET,CHI,away
17,DET,SF,away
18,DET,MIN,home
1,GB,PHI,away
2,GB,IND,home
3,GB,TEN,away
4,GB,MIN,home
5,GB,LAR,away
6,GB,ARI,home
7,GB,HOU,home
8,GB,JAX,away
9,GB,DET,home
10,GB,BYE,BYE
11,GB,CHI,away
12,GB,SF,home
13,GB,MIA,home
14,GB,DET,away
15,GB,SEA,away
16,GB,NO,home
17,GB,MIN,away
18,GB,CHI,home
1,HOU,IND,away
2,HOU,CHI,home
3,HOU,MIN,away
4,HOU,JAX,home
5,HOU,BUF,home
6,HOU,NE,away
7,HOU,GB,away
8,HOU,IND,home
9,HOU,NYJ,away
10,HOU,DET,home
11,HOU,DAL,away
12,HOU,TEN,home
13,HOU,JAX,away
14,HOU,BYE,BYE
15,HOU,MIA,home
16,HOU,KC,away
17,HOU,BAL,home
18,HOU,TEN,away
1,IND,HOU,home
2,IND,GB,away
3,IND,CHI,home
4,IND,PIT,home
5,IND,JAX,away
6,IND,TEN,away
7,IND,MIA,home
8,IND,HOU,away
9,IND,MIN,away
10,IND,BUF,home
11,IND,NYJ,away
12,IND,DET,home
13,IND,NE,away
14,IND,BYE,BYE
15,IND,DEN,away
16,IND,TEN,home
17,IND,NYG,away
18,IND,JAX,home
1,JAX,MIA,away
2,JAX,CLE,home
3,JAX,BUF,away
4,JAX,HOU,away
5,JAX,IND,home
6,JAX,CHI,away
7,JAX,NE,home
8,JAX,GB,home
9,JAX,PHI,away
10,JAX,MIN,home
11,JAX,DET,away
12,JAX,BYE,BYE
13,JAX,HOU,home
14,JAX,TEN,away
15,JAX,NYJ,home
16,JAX,LV,away
17,JAX,TEN,home
18,JAX,IND,away
1,KC,BAL,home
2,KC,CIN,home
3,KC,ATL,away
4,KC,LAC,away
5,KC,NO,home
6,KC,BYE,BYE
7,KC,SF,away
8,KC,LV,away
9,KC,TB,home
10,KC,DEN,home
11,KC,BUF,away
12,KC,CAR,away
13,KC,LV,home
14,KC,LAC,home
15,KC,CLE,away
16,KC,HOU,home
17,KC,PIT,away
18,KC,DEN,away
1,LAC,LV,home
2,LAC,CAR,away
3,LAC,PIT,away
4,LAC,KC,home
5,LAC,BYE,BYE
6,LAC,DEN,away
7,LAC,ARI,away
8,LAC,NO,home
9,LAC,CLE,away
10,LAC,TEN,home
11,LAC,CIN,home
12,LAC,BAL,home
13,LAC,ATL,away
14,LAC,KC,away
15,LAC,TB,home
16,LAC,DEN,home
17,LAC,NE,away
18,LAC,LV,away
1,LAR,DET,away
2,LAR,ARI,away
3,LAR,SF,home
4,LAR,CHI,away
5,LAR,GB,home
6,LAR,BYE,BYE
7,LAR,LV,home
8,LAR,MIN,home
9,LAR,SEA,away
10,LAR,MIA,home
11,LAR,NE,away
12,LAR,PHI,home
13,LAR,NO,away
14,LAR,BUF,home
15,LAR,SF,away
16,LAR,NYJ,away
17,LAR,ARI,home
18,LAR,SEA,home
1,LV,LAC,away
2,LV,BAL,away
3,LV,CAR,home
4,LV,CLE,home
5,LV,DEN,away
6,LV,PIT,home
7,LV,LAR,away
8,LV,KC,home
9,LV,CIN,away
10,LV,BYE,BYE
11,LV,MIA,away
12,LV,DEN,home
13,LV,KC,away
14,LV,TB,away
15,LV,ATL,home
16,LV,JAX,home
17,LV,NO,away
18,LV,LAC,home
1,MIA,JAX,home
2,MIA,BUF,home
3,MIA,SEA,away
4,MIA,TEN,home
5,MIA,NE,away
