team,player,category,FUM,LOST
ARI,Max Garcia,fumbles,1,0
ARI,Kyler Murray,fumbles,0,0
ARI,Markus Golden,fumbles,0,0
ATL,Matt Ryan,fumbles,1,1
BAL,Mark Andrews,fumbles,1,0
CHI,DeAndre Houston-Carson,fumbles,0,0
CHI,Sam Mustipher,fumbles,1,0
CHI,Khalil Herbert,fumbles,0,0
CHI,Justin Fields,fumbles,3,2
CIN,Ja'Marr Chase,fumbles,1,0
GB,AJ Dillon,fumbles,2,1
GB,Lucas Patrick,fumbles,0,0
GB,Dean Lowry,fumbles,0,0
HOU,Davis Mills,fumbles,1,1
IND,Jonathan Taylor,fumbles,2,1
IND,Ashton Dulin,fumbles,0,0
IND,Anthony Chesley,fumbles,0,0
IND,Kwity Paye,fumbles,0,0
IND,Carson Wentz,fumbles,2,1
KC,Mike Remmers,fumbles,0,0
KC,Mecole Hardman Jr.,fumbles,1,1
KC,Patrick Mahomes,fumbles,2,1
LV,Cory Littleton,fumbles,0,0
LV,Johnathan Abram,fumbles,0,0
MIA,Nik Needham,fumbles,0,0
NE,Josh Uche,fumbles,0,0
NO,Jameis Winston,fumbles,1,0
NO,Adam Trautman,fumbles,1,1
NYG,James Bradberry IV,fumbles,1,0
NYJ,Michael Carter,fumbles,1,1
PHI,Kenny Gainwell,fumbles,1,1
PHI,Jalen Hurts,fumbles,1,1
PHI,Jalen Reagor,fumbles,1,0
SEA,Jordyn Brooks,fumbles,0,0
SF,Jimmy Garoppolo,fumbles,2,1
SF,Deebo Samuel,fumbles,1,1
SF,Fred Warner,fumbles,0,0
SF,Azeez Al-Shaair,fumbles,0,0
TB,Shaquil Barrett,fumbles,1,0
TB,Vita Vea,fumbles,0,0
TB,Devin White,fumbles,0,0
TB,Ronald Jones,fumbles,1,1
TEN,Rashaan Evans,fumbles,0,0
TEN,Matthias Farley,fumbles,0,0
WSH,Landon Collins,fumbles,0,0
WSH,Chase Roullier,fumbles,0,0
WSH,Antonio Gibson,fumbles,1,0
WSH,DeAndre Carter,fumbles,1,0
WSH,Taylor Heinicke,fumbles,2,1
