team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Andy Lee,punting,2,97,48.5,0,1,53
BAL,Jordan Stout,punting,3,124,41.3,0,1,46
BUF,Sam Martin,punting,7,347,49.6,1,2,67
CAR,Johnny Hekker,punting,2,107,53.5,1,0,67
CIN,Drue Chrisman,punting,5,205,41.0,0,2,51
CLE,Corey Bojorquez,punting,4,220,55.0,0,1,65
DAL,Bryan Anger,punting,3,157,52.3,0,0,62
DEN,Corliss Waitman,punting,7,333,47.6,1,0,51
DET,Jack Fox,punting,2,96,48.0,0,1,66
HOU,Cameron Johnston,punting,4,197,49.3,0,2,60
JAX,Logan Cooke,punting,3,133,44.3,0,1,49
KC,Tommy Townsend,punting,3,199,66.3,1,1,76
LAC,JK Scott,punting,4,176,44.0,0,0,55
LAR,Riley Dixon,punting,3,156,52.0,1,1,65
LV,AJ Cole,punting,3,148,49.3,0,2,64
MIA,Thomas Morstead,punting,7,327,46.7,0,4,55
MIN,Ryan Wright,punting,3,159,53.0,0,1,64
NE,Michael Palardy,punting,6,253,42.2,2,2,49
NYG,Jamie Gillan,punting,5,241,48.2,0,3,52
NYJ,Braden Mann,punting,7,311,44.4,1,2,51
PHI,Jake Elliott,punting,1,35,35.0,0,0,35
PIT,Pressley Harvin III,punting,3,111,37.0,1,0,48
SEA,Michael Dickson,punting,4,177,44.3,0,0,49
SF,Mitch Wishnowsky,punting,3,134,44.7,0,1,62
TB,Jake Camarda,punting,3,157,52.3,0,0,61
TEN,Ryan Stonehouse,punting,3,150,50.0,0,0,53
