team,player,category,TOT,SOLO,SACKS,TFL,PD,QB HTS,TD
ARI,Kevin Strong,defensive,2,0,0.0,0,0,0,0
ARI,Jalen Thompson,defensive,8,8,1.0,1,1,1,0
ARI,Josh Woods,defensive,7,6,0.0,0,0,0,0
ARI,Marco Wilson,defensive,6,3,0.0,0,0,0,0
ARI,Antonio Hamilton Sr.,defensive,5,4,0.0,0,3,0,0
ARI,Roy Lopez,defensive,5,3,0.0,0,0,1,0
ARI,Leki Fotu,defensive,4,4,1.0,2,0,1,0
ARI,Victor Dimukeje,defensive,4,4,0.0,1,0,0,0
ARI,Dennis Gardeck,defensive,4,4,0.0,0,0,0,0
ARI,Budda Baker,defensive,4,3,0.0,0,0,0,0
ARI,BJ Ojulari,defensive,1,1,1.0,1,0,1,0
ARI,Phil Hoskins,defensive,4,2,0.0,0,0,0,0
ARI,Garrett Williams,defensive,1,1,0.0,0,0,0,0
ARI,Hollywood Brown,defensive,1,1,0.0,0,0,0,0
ARI,Cameron Thomas,defensive,1,0,0.0,0,0,0,0
ARI,Dante Stills,defensive,4,2,1.0,1,0,1,0
ARI,Starling Thomas V,defensive,2,2,0.0,0,0,0,0
ARI,Kyzir White,defensive,3,2,0.0,0,1,0,0
ARI,Krys Barnes,defensive,3,2,0.0,0,2,0,0
ARI,Zaven Collins,defensive,2,1,0.0,0,0,0,0
BAL,Daryl Worley,defensive,1,1,0.0,0,0,0,0
BAL,Ronald Darby,defensive,0,0,0.0,0,3,0,0
BAL,Isaiah Likely,defensive,1,1,0.0,0,0,0,0
BAL,Charlie Kolar,defensive,1,1,0.0,0,0,0,0
BAL,Brandon Stephens,defensive,1,1,0.0,0,0,0,0
BAL,Arthur Maulet,defensive,1,1,0.0,0,0,0,0
BAL,Rock Ya-Sin,defensive,1,1,0.0,0,0,0,0
BAL,Jalyn Armour-Davis,defensive,2,1,0.0,0,0,0,0
BAL,Michael Pierce,defensive,0,0,0.0,0,0,1,0
BAL,Malik Harrison,defensive,2,2,0.0,0,0,0,0
BAL,Kyle Van Noy,defensive,2,2,1.0,1,0,1,0
BAL,Kyle Hamilton,defensive,3,1,0.0,0,2,0,0
BAL,Geno Stone,defensive,3,1,0.0,0,0,0,0
BAL,Tavius Robinson,defensive,3,2,1.0,1,0,1,0
BAL,Brent Urban,defensive,3,3,0.0,0,0,0,0
BAL,Odafe Oweh,defensive,3,3,1.0,1,0,1,0
BAL,Nnamdi Madubuike,defensive,3,3,1.0,1,0,1,0
BAL,Marcus Williams,defensive,7,5,0.0,0,2,0,0
BAL,Jadeveon Clowney,defensive,2,1,1.0,1,0,2,0
BAL,Roquan Smith,defensive,10,4,0.0,0,0,0,0
BAL,Patrick Queen,defensive,11,9,0.0,0,0,0,0
BUF,Tyrel Dodson,defensive,7,6,1.0,1,0,1,0
BUF,Rasul Douglas,defensive,4,2,0.0,0,3,0,0
BUF,Siran Neal,defensive,4,4,0.0,0,0,0,0
BUF,Leonard Floyd,defensive,4,3,2.5,2,0,3,0
BUF,Jordan Poyer,defensive,2,2,0.0,0,0,0,0
BUF,Dorian Williams,defensive,4,2,0.0,0,0,0,0
BUF,Ed Oliver,defensive,3,3,1.0,1,0,1,0
BUF,Terrel Bernard,defensive,6,2,0.5,0,0,1,0
BUF,Reggie Gilliam,defensive,2,2,0.0,0,0,0,0
BUF,Cam Lewis,defensive,2,1,0.0,0,1,0,0
BUF,Tyler Matakevich,defensive,2,1,0.0,0,0,0,0
BUF,AJ Epenesa,defensive,1,0,0.0,0,0,1,0
BUF,Shaq Lawson,defensive,1,1,1.0,1,0,1,0
BUF,Linval Joseph,defensive,1,1,0.0,0,0,0,0
BUF,Micah Hyde,defensive,1,1,0.0,0,0,0,0
BUF,Dane Jackson,defensive,1,1,0.0,0,0,0,0
BUF,Christian Benford,defensive,1,1,0.0,0,1,0,0
BUF,Mitch Morse,defensive,1,0,0.0,0,0,0,0
BUF,Ty Johnson,defensive,1,0,0.0,0,0,0,0
BUF,Tim Settle,defensive,1,0,0.0,0,0,0,0
BUF,Taron Johnson,defensive,3,2,0.0,0,0,0,0
BUF,Greg Rousseau,defensive,2,2,0.0,0,0,0,0
BUF,Taylor Rapp,defensive,3,1,0.0,0,0,0,0
CAR,Frankie Luvu,defensive,8,6,0.0,0,2,0,0
CAR,Vonn Bell,defensive,7,6,0.0,0,0,0,0
CAR,Troy Hill,defensive,8,3,0.0,1,3,0,0
CAR,Eku Leota,defensive,1,0,0.0,0,0,0,0
CAR,DeShawn Williams,defensive,1,0,0.0,0,0,0,0
CAR,Amare Barno,defensive,1,1,0.0,0,0,0,0
CAR,Deion Jones,defensive,1,1,0.0,0,1,0,0
CAR,DJ Johnson,defensive,3,2,0.0,0,1,0,0
CAR,Xavier Woods,defensive,5,1,0.0,0,0,0,0
CAR,Nick Thurman,defensive,3,2,0.0,0,0,0,0
CAR,Kamu Grugier-Hill,defensive,4,2,0.0,0,1,0,0
CAR,Dicaprio Bootle,defensive,4,4,0.0,0,0,0,0
CAR,Donte Jackson,defensive,5,4,0.0,0,0,0,0
CAR,Derrick Brown,defensive,6,4,0.0,1,0,1,0
CAR,Brian Burns,defensive,3,2,0.0,1,0,3,0
CHI,Yannick Ngakoue,defensive,0,0,0.0,0,0,1,0
CHI,Gervon Dexter Sr.,defensive,1,0,0.0,0,1,2,0
CHI,Rasheem Green,defensive,1,0,0.0,0,0,1,0
CHI,Terell Smith,defensive,1,1,0.0,0,0,0,0
CHI,Andrew Billings,defensive,1,1,0.0,0,0,0,0
CHI,DeMarcus Walker,defensive,2,1,0.0,0,0,1,0
CHI,Montez Sweat,defensive,2,1,1.0,1,0,1,0
CHI,Tyrique Stevenson,defensive,4,3,0.0,0,1,0,0
CHI,Jack Sanborn,defensive,4,2,1.0,1,0,1,0
CHI,Justin Jones,defensive,4,3,0.0,0,0,1,0
CHI,Eddie Jackson,defensive,4,4,0.0,0,0,0,0
CHI,Jaquan Brisker,defensive,6,5,0.0,0,0,0,0
CHI,Kyler Gordon,defensive,7,5,0.0,0,0,0,0
CHI,T.J. Edwards,defensive,9,5,0.0,0,1,0,0
CHI,Jaylon Johnson,defensive,2,2,0.0,0,1,0,0
CHI,Tremaine Edmunds,defensive,7,4,0.0,0,1,0,0
CIN,Jordan Battle,defensive,12,10,0.0,0,0,0,0
CIN,Cam Taylor-Britt,defensive,1,1,0.0,0,1,0,0
CIN,Zachary Carter,defensive,1,0,0.0,0,0,0,0
CIN,Markus Bailey,defensive,1,0,0.0,0,0,0,0
CIN,Akeem Davis-Gaither,defensive,1,0,0.0,0,0,0,0
CIN,DJ Reader,defensive,1,1,0.0,0,0,0,0
CIN,DJ Turner II,defensive,1,1,1.0,1,0,1,0
CIN,Myles Murphy,defensive,2,2,0.0,0,0,0,0
CIN,B.J. Hill,defensive,2,0,0.0,0,0,1,0
CIN,Cameron Sample,defensive,3,2,0.0,0,0,0,0
CIN,Germaine Pratt,defensive,3,2,0.0,0,0,0,0
CIN,Chidobe Awuzie,defensive,3,3,0.0,0,1,0,0
CIN,Mike Hilton,defensive,5,4,1.0,1,0,1,0
CIN,Dax Hill,defensive,7,6,0.0,1,0,0,0
CIN,Logan Wilson,defensive,9,6,0.0,0,0,1,0
