team,player,category,C/ATT,YDS,AVG,TD,INT,SACKS,QBR,RTG
ARI,Kyler Murray,passing,21/31,162,5.2,1,0,4-16,80.5,91.1
ATL,Kirk Cousins,passing,16/26,155,6.0,1,2,2-18,30.4,59.0
BAL,Lamar Jackson,passing,26/41,273,6.7,1,0,1-6,59.3,90.8
BUF,Josh Allen,passing,18/23,232,10.1,2,0,2-10,89.8,137.7
CAR,Bryce Young,passing,13/30,161,5.4,0,2,4-26,9.2,32.8
CAR,Andy Dalton,passing,0/1,0,0.0,0,0,0-0,1.3,39.6
CHI,Caleb Williams,passing,14/29,93,3.2,0,0,2-29,22.5,55.7
CIN,Joe Burrow,passing,21/29,164,5.7,0,0,3-10,40.9,86.0
CLE,Deshaun Watson,passing,24/45,169,3.8,1,2,6-32,7.1,51.1
DAL,Dak Prescott,passing,19/32,179,5.6,1,0,3-16,20.7,85.3
DEN,Bo Nix,passing,26/42,138,3.3,0,2,2-6,34.2,47.5
DET,Jared Goff,passing,18/28,217,7.8,1,1,2-17,36.4,85.0
GB,Malik Willis,passing,0/1,0,0.0,0,0,1-4,23.4,39.6
GB,Jordan Love,passing,17/34,260,7.6,2,1,1-5,25.1,83.0
HOU,C.J. Stroud,passing,24/32,234,7.3,2,0,4-30,70.4,115.9
IND,Anthony Richardson Sr.,passing,9/19,212,11.2,2,1,2-13,91.0,101.2
JAX,Trevor Lawrence,passing,12/21,162,7.7,1,0,3-23,68.5,97.7
KC,Patrick Mahomes,passing,20/28,291,10.4,1,1,2-10,65.9,101.9
LAC,Justin Herbert,passing,17/26,144,5.5,1,0,1-4,24.1,92.5
LAR,Matthew Stafford,passing,34/49,317,6.5,1,1,2-13,62.6,85.2
LV,Gardner Minshew II,passing,25/33,257,7.8,1,1,4-32,31.9,95.1
MIA,Tua Tagovailoa,passing,23/37,338,9.1,1,0,3-19,38.4,101.0
MIN,Sam Darnold,passing,19/24,208,8.7,2,1,1-7,73.6,113.2
NE,Jacoby Brissett,passing,15/24,121,5.0,0,0,1-1,78.2,75.2
NO,Derek Carr,passing,19/23,200,8.7,3,0,1-1,76.6,142.5
NO,Jake Haener,passing,0/1,0,0.0,0,0,0-0,6.0,39.6
NYG,Daniel Jones,passing,22/42,186,4.4,0,2,5-20,20.9,44.3
NYJ,Aaron Rodgers,passing,13/21,167,8.0,1,1,1-5,46.3,82.8
NYJ,Tyrod Taylor,passing,6/8,36,4.5,1,0,0-0,95.1,122.9
PHI,Jalen Hurts,passing,20/34,278,8.2,2,2,2-12,44.7,80.3
PIT,Justin Fields,passing,17/23,156,6.8,0,0,2-23,31.1,91.9
SEA,Geno Smith,passing,18/25,171,6.8,1,1,2-13,71.3,87.2
SF,Brock Purdy,passing,19/29,231,8.0,0,0,2-6,78.5,89.9
SF,Deebo Samuel,passing,0/0,0,0.0,0,0,1-4,0.0,0.0
TB,Baker Mayfield,passing,24/30,289,9.6,4,0,1-9,86.1,146.4
TEN,Will Levis,passing,19/32,127,4.0,1,2,3-23,31.0,52.5
WSH,Jayden Daniels,passing,17/24,184,7.7,0,0,2-23,31.3,93.1
