team,player,category,INT,YDS,TD
ARI,Dennis Gardeck,interceptions,1,10,0
ATL,Justin Simmons,interceptions,1,0,0
BUF,Damar Hamlin,interceptions,1,19,0
CAR,Mike Jackson,interceptions,1,1,0
CHI,Jaylon Johnson,interceptions,1,2,0
CHI,Tremaine Edmunds,interceptions,1,0,0
DEN,Brandon Jones,interceptions,1,37,0
DET,Kerby Joseph,interceptions,1,0,0
GB,Jaire Alexander,interceptions,1,35,1
GB,Xavier McKinney,interceptions,1,0,0
IND,Jaylon Jones,interceptions,2,5,0
KC,Chamarri Conner,interceptions,1,3,0
KC,Jaylen Watson,interceptions,0,12,0
LAC,Bud Dupree,interceptions,1,0,0
MIA,Kader Kohou,interceptions,1,2,0
MIA,Zach Sieler,interceptions,1,0,0
MIN,Cam Bynum,interceptions,1,3,0
MIN,Kamu Grugier-Hill,interceptions,1,5,0
NO,Tyrann Mathieu,interceptions,1,23,0
PHI,Reed Blankenship,interceptions,1,0,0
