team,player,category,FG,PCT,LONG,XP,PTS
ARI,Chad Ryland,kicking,2/3,66.7,34,1/1,7
ATL,Parker Romo,kicking,0/2,0.0,0,0/0,0
BAL,Tyler Loop,kicking,1/1,100.0,41,3/3,6
BUF,Matt Prater,kicking,1/2,50.0,48,4/4,7
CAR,Ryan Fitzgerald,kicking,3/3,100.0,57,3/3,12
CHI,Cairo Santos,kicking,1/1,100.0,30,4/4,7
CIN,Evan McPherson,kicking,1/1,100.0,45,1/1,4
CLE,Andre Szmyt,kicking,2/2,100.0,55,1/1,7
DAL,Brandon Aubrey,kicking,2/2,100.0,53,0/0,6
DEN,Wil Lutz,kicking,2/2,100.0,42,2/2,8
DET,Jake Bates,kicking,1/2,50.0,45,5/5,8
GB,Brandon McManus,kicking,1/2,50.0,39,1/1,4
HOU,Ka'imi Fairbairn,kicking,1/2,50.0,27,1/1,4
IND,Spencer Shrader,kicking,2/3,66.7,36,5/5,11
JAX,Cam Little,kicking,1/2,50.0,39,2/2,5
KC,Harrison Butker,kicking,3/4,75.0,54,1/2,10
LAC,Cameron Dicker,kicking,3/3,100.0,43,2/2,11
LAR,Joshua Karty,kicking,4/6,66.7,51,2/2,14
LV,Daniel Carlson,kicking,1/1,100.0,37,1/1,4
MIA,Riley Patterson,kicking,0/0,0.0,0,3/3,3
MIN,Will Reichard,kicking,2/2,100.0,62,6/6,12
NE,Andy Borregales,kicking,0/0,0.0,0,2/2,2
NO,Blake Grupe,kicking,2/3,66.7,27,1/1,7
NYG,Graham Gano,kicking,1/1,100.0,25,0/0,3
NYG,Jamie Gillan,kicking,0/0,0.0,0,0/1,0
NYJ,Nick Folk,kicking,2/2,100.0,42,3/3,9
PHI,Jake Elliott,kicking,0/0,0.0,0,3/3,3
PIT,Chris Boswell,kicking,0/0,0.0,0,3/3,3
SEA,Jason Myers,kicking,3/3,100.0,56,5/5,14
SF,Eddy Pineiro,kicking,3/3,100.0,51,1/1,10
TB,Chase McLaughlin,kicking,5/6,83.3,55,2/2,17
TEN,Joey Slye,kicking,2/4,50.0,57,2/2,8
WSH,Matt Gay,kicking,2/3,66.7,56,5/5,11
