team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
ARI,Chad Ryland,kicking,0.0,0,3,0,0,3,3
BAL,Tyler Loop,kicking,50.0,27,4,1,2,1,1
BUF,Matt Prater,kicking,100.0,45,8,2,2,2,2
CAR,Ryan Fitzgerald,kicking,100.0,49,9,2,2,3,3
CIN,Evan McPherson,kicking,100.0,50,6,1,1,3,3
CLE,Andre Szmyt,kicking,100.0,31,5,1,1,2,2
DAL,Brandon Aubrey,kicking,100.0,35,7,1,1,4,5
DEN,Wil Lutz,kicking,100.0,55,7,2,2,1,1
DET,Jake Bates,kicking,0.0,0,5,0,0,5,5
HOU,Ka'imi Fairbairn,kicking,100.0,57,14,3,3,5,5
IND,Spencer Shrader,kicking,0.0,0,1,0,0,2,2
JAX,Cam Little,kicking,100.0,52,7,1,1,4,4
KC,Harrison Butker,kicking,0.0,0,4,0,0,4,4
LAC,Cameron Dicker,kicking,100.0,55,4,1,1,1,1
LAR,Joshua Karty,kicking,50.0,48,5,1,2,2,3
LV,Daniel Carlson,kicking,66.7,37,6,2,3,0,0
MIA,Riley Patterson,kicking,100.0,43,6,1,1,3,3
MIN,Will Reichard,kicking,0.0,0,3,0,1,3,3
NE,Andy Borregales,kicking,100.0,52,11,3,3,2,2
NO,Blake Grupe,kicking,66.7,53,14,4,6,2,2
NYG,Jude McAtamney,kicking,0.0,0,2,0,0,2,2
NYJ,Nick Folk,kicking,100.0,48,6,2,2,0,0
PHI,Jake Elliott,kicking,100.0,31,5,1,1,2,2
SEA,Jason Myers,kicking,0.0,0,5,0,1,5,5
SF,Eddy Pineiro,kicking,100.0,59,14,4,4,2,2
TB,Chase McLaughlin,kicking,100.0,39,12,3,3,3,3
TEN,Joey Slye,kicking,100.0,51,10,3,3,1,2
WSH,Matt Gay,kicking,100.0,36,9,2,2,3,3
