team,player,category,CAR,YDS,AVG,TD,LONG
ARI,Bam Knight,rushing,4,11,2.8,1,10
ARI,Emari Demercado,rushing,3,81,27.0,0,71
ARI,Michael Carter,rushing,18,51,2.8,1,7
ARI,Kyler Murray,rushing,4,25,6.3,1,12
BAL,Derrick Henry,rushing,15,33,2.2,1,7
BAL,Keaton Mitchell,rushing,3,8,2.7,0,6
BAL,Justice Hill,rushing,1,3,3.0,0,3
BUF,Ray Davis,rushing,2,1,0.5,0,1
BUF,Khalil Shakir,rushing,1,5,5.0,0,5
BUF,Ty Johnson,rushing,2,10,5.0,0,7
BUF,James Cook III,rushing,15,49,3.3,0,9
BUF,Josh Allen,rushing,9,53,5.9,0,19
CAR,Trevor Etienne,rushing,4,22,5.5,0,12
CAR,Bryce Young,rushing,3,1,0.3,0,4
CAR,Rico Dowdle,rushing,23,206,9.0,1,53
CAR,Jimmy Horn Jr.,rushing,2,10,5.0,0,5
CIN,Jake Browning,rushing,4,31,7.8,0,13
CIN,Chase Brown,rushing,8,27,3.4,0,6
CIN,Samaje Perine,rushing,4,27,6.8,0,10
CLE,Jerome Ford,rushing,5,18,3.6,0,10
CLE,Malachi Corley,rushing,1,11,11.0,0,11
CLE,Dillon Gabriel,rushing,2,5,2.5,0,8
CLE,Dylan Sampson,rushing,1,-4,-4.0,0,-4
CLE,Quinshon Judkins,rushing,23,110,4.8,0,32
DAL,Ryan Flournoy,rushing,2,10,5.0,0,10
DAL,Dak Prescott,rushing,7,28,4.0,0,14
DAL,Javonte Williams,rushing,16,135,8.4,1,66
DAL,Jaydon Blue,rushing,4,7,1.8,0,6
DEN,Adam Prentice,rushing,1,8,8.0,0,8
DEN,J.K. Dobbins,rushing,20,79,4.0,1,17
DEN,Marvin Mims Jr.,rushing,1,9,9.0,0,9
DEN,RJ Harvey,rushing,4,12,3.0,0,8
DEN,Bo Nix,rushing,3,22,7.3,0,14
DET,Jahmyr Gibbs,rushing,12,54,4.5,0,9
DET,Jared Goff,rushing,2,-2,-1.0,0,-1
DET,Jameson Williams,rushing,1,1,1.0,0,1
DET,David Montgomery,rushing,18,65,3.6,1,19
HOU,Nick Chubb,rushing,11,61,5.5,1,27
HOU,Woody Marks,rushing,7,24,3.4,0,11
HOU,C.J. Stroud,rushing,1,30,30.0,0,30
HOU,British Brooks,rushing,2,15,7.5,0,9
HOU,Nico Collins,rushing,1,8,8.0,0,8
HOU,Jaylin Noel,rushing,1,5,5.0,0,5
HOU,Davis Mills,rushing,3,3,1.0,0,5
HOU,Dameon Pierce,rushing,7,21,3.0,0,10
IND,Ameer Abdullah,rushing,2,6,3.0,1,4
IND,DJ Giddens,rushing,5,22,4.4,0,9
IND,Jonathan Taylor,rushing,17,66,3.9,3,16
IND,Daniel Jones,rushing,1,2,2.0,0,2
JAX,Travis Etienne Jr.,rushing,12,49,4.1,0,8
JAX,Trevor Lawrence,rushing,10,54,5.4,2,16
JAX,Bhayshul Tuten,rushing,4,6,1.5,0,4
KC,Brashard Smith,rushing,1,4,4.0,0,4
KC,Xavier Worthy,rushing,1,9,9.0,0,9
KC,Isiah Pacheco,rushing,7,36,5.1,0,16
KC,Kareem Hunt,rushing,7,49,7.0,2,33
KC,Patrick Mahomes,rushing,6,60,10.0,1,15
LAC,Trey Lance,rushing,1,11,11.0,0,11
LAC,Quentin Johnston,rushing,1,9,9.0,0,9
LAC,Hassan Haskins,rushing,5,13,2.6,0,5
LAC,Kimani Vidal,rushing,4,18,4.5,0,11
