team,player,category,REC,YDS,AVG,TD,LONG,TGTS
ARI,Elijah Higgins,receiving,2,34,17.0,0,24,2
ARI,Emari Demercado,receiving,0,0,0.0,0,0,1
ARI,Greg Dortch,receiving,3,9,3.0,1,12,3
ARI,Bam Knight,receiving,1,20,20.0,0,20,2
ARI,Michael Carter,receiving,2,30,15.0,0,16,5
ARI,Marvin Harrison Jr.,receiving,2,32,16.0,0,21,2
ARI,Michael Wilson,receiving,4,44,11.0,0,30,5
ARI,Trey McBride,receiving,8,72,9.0,1,26,11
ARI,Zay Jones,receiving,5,79,15.8,0,24,8
ATL,Casey Washington,receiving,0,0,0.0,0,0,2
ATL,Kyle Pitts Sr.,receiving,3,18,6.0,0,10,4
ATL,Bijan Robinson,receiving,6,68,11.3,0,23,8
ATL,Drake London,receiving,10,158,15.8,1,39,16
ATL,Tyler Allgeier,receiving,1,6,6.0,0,6,1
BAL,Charlie Kolar,receiving,0,0,0.0,0,0,1
BAL,Zay Flowers,receiving,6,46,7.7,0,18,10
BAL,Justice Hill,receiving,5,28,5.6,0,13,6
BAL,Mark Andrews,receiving,4,24,6.0,0,9,6
BAL,DeAndre Hopkins,receiving,2,20,10.0,0,11,4
BAL,Derrick Henry,receiving,1,8,8.0,0,8,2
BAL,Rashod Bateman,receiving,1,8,8.0,0,8,1
BAL,Isaiah Likely,receiving,2,6,3.0,0,5,2
BUF,Khalil Shakir,receiving,3,33,11.0,0,15,5
BUF,Keon Coleman,receiving,3,11,3.7,0,7,6
BUF,Ty Johnson,receiving,1,11,11.0,0,11,2
BUF,Elijah Moore,receiving,0,0,0.0,0,0,2
BUF,Joshua Palmer,receiving,2,60,30.0,0,45,2
BUF,Tyrell Shavers,receiving,3,27,9.0,0,10,5
BUF,Ray Davis,receiving,2,19,9.5,1,16,2
BUF,Dawson Knox,receiving,1,19,19.0,1,19,2
CAR,Mitchell Evans,receiving,1,21,21.0,0,21,1
CAR,Xavier Legette,receiving,2,11,5.5,0,15,2
CAR,Hunter Renfrow,receiving,1,7,7.0,0,7,2
CAR,Rico Dowdle,receiving,4,56,14.0,1,36,5
CAR,Tommy Tremble,receiving,4,39,9.8,0,16,4
CAR,Jimmy Horn Jr.,receiving,2,36,18.0,0,34,2
CAR,Tetairoa McMillan,receiving,3,29,9.7,2,19,5
CHI,Cole Kmet,receiving,1,0,0.0,0,0,2
CHI,Colston Loveland,receiving,2,11,5.5,0,6,3
CHI,Olamide Zaccheaus,receiving,2,24,12.0,0,14,6
CHI,Kyle Monangai,receiving,1,25,25.0,0,25,1
CHI,Rome Odunze,receiving,2,32,16.0,0,21,5
