team,player,category,FUM,LOST,REC
ATL,Bijan Robinson,fumbles,1,1,0
BAL,Mark Andrews,fumbles,1,0,0
BUF,Deone Walker,fumbles,0,0,1
BUF,Christian Benford,fumbles,0,0,1
CAR,Austin Corbett,fumbles,1,0,0
CAR,Andy Dalton,fumbles,2,2,1
CHI,D'Marco Jackson,fumbles,0,0,1
CHI,Josh Blackwell,fumbles,1,0,0
CLE,Devin Bush,fumbles,0,0,1
DAL,Brock Hoffman,fumbles,0,0,1
DAL,Jaydon Blue,fumbles,1,0,0
GB,Emanuel Wilson,fumbles,1,0,0
GB,Zayne Anderson,fumbles,0,0,1
GB,Javon Bullard,fumbles,0,0,1
GB,Keisean Nixon,fumbles,1,0,0
KC,Rashee Rice,fumbles,1,0,1
KC,Brashard Smith,fumbles,1,0,1
MIA,Tyrel Dodson,fumbles,0,0,1
MIN,Carson Wentz,fumbles,1,0,1
NE,Jared Wilson,fumbles,0,0,1
NE,Drake Maye,fumbles,1,0,0
NE,TreVeyon Henderson,fumbles,1,1,0
NO,Rashid Shaheed,fumbles,1,1,0
NO,Spencer Rattler,fumbles,1,1,0
NO,Chase Young,fumbles,0,0,1
PIT,Kenny Gainwell,fumbles,1,1,0
SF,Mykel Williams,fumbles,0,0,1
SF,Deommodore Lenoir,fumbles,1,0,0
TB,Antoine Winfield Jr.,fumbles,0,0,1
TB,Sean Tucker,fumbles,1,0,0
TB,Lavonte David,fumbles,0,0,1
TB,Baker Mayfield,fumbles,1,1,0
WSH,Marcus Mariota,fumbles,1,0,0
