team,player,category,REC,YDS,AVG,TD,LONG,TGTS
BAL,Devin Duvernay,receiving,33,272,7.91,2,21,47
BAL,Devonta Freeman,receiving,34,190,4.66,1,15,42
BAL,Eric Tomlinson,receiving,1,7,7.0,0,7,1
BAL,Hollywood Brown,receiving,91,1008,11.6,6,49,146
BAL,James Proche II,receiving,16,202,10.03,0,32,20
BAL,Josh Oliver,receiving,9,66,4.5,0,19,15
BAL,Latavius Murray,receiving,10,75,7.5,0,18,13
BAL,Le'Veon Bell,receiving,1,-1,-0.5,0,0,3
BAL,Mark Andrews,receiving,107,1361,12.86,9,43,153
BAL,Miles Boykin,receiving,1,6,6.0,0,6,1
BAL,Nick Boyle,receiving,1,2,1.0,0,2,2
BAL,Patrick Ricard,receiving,8,63,5.37,1,22,13
BAL,Rashod Bateman,receiving,46,515,10.06,1,36,68
BAL,Sammy Watkins,receiving,27,394,11.15,1,49,49
BAL,Ty'Son Williams,receiving,9,84,6.2,0,21,12
BAL,Tylan Wallace,receiving,2,23,5.75,0,18,6
