team,player,category,REC,YDS,AVG,TD,LONG,TGTS
BUF,Cole Beasley,receiving,82,693,8.39,1,29,112
BUF,Dawson Knox,receiving,49,587,11.58,9,53,71
BUF,Devin Singletary,receiving,40,228,4.82,1,19,50
BUF,Dion Dawkins,receiving,0,0,0.0,0,0,1
BUF,Emmanuel Sanders,receiving,42,626,14.06,4,41,72
BUF,Gabe Davis,receiving,35,549,14.51,6,49,63
BUF,Isaiah McKenzie,receiving,20,178,6.6,1,28,26
BUF,Jake Kumerow,receiving,2,28,7.0,0,15,6
BUF,Matt Breida,receiving,7,72,8.56,2,23,9
BUF,Reggie Gilliam,receiving,3,23,4.6,0,8,5
BUF,Stefon Diggs,receiving,103,1225,12.72,10,61,164
BUF,Tommy Sweeney,receiving,9,44,2.57,1,13,12
BUF,Zack Moss,receiving,23,197,7.05,1,24,32
