team,player,category,TOT,SOLO,SACKS,TFL,PD,QB HTS,TD
CAR,A.J. Bouye,defensive,28,23,0.0,2,3,0,0
CAR,Alex Erickson,defensive,1,1,0.0,0,0,0,0
CAR,Brady Christensen,defensive,1,1,0.0,0,0,0,0
CAR,Brandon Zylstra,defensive,7,4,0.0,0,0,0,0
CAR,Bravvion Roy,defensive,30,13,0.0,1,2,2,0
CAR,Brian Burns,defensive,50,31,9.0,13,4,18,0
CAR,C.J. Henderson,defensive,31,25,0.0,0,2,0,0
CAR,Christian McCaffrey,defensive,1,1,0.0,0,0,0,0
CAR,Chuba Hubbard,defensive,1,1,0.0,0,0,0,0
CAR,Clay Johnston,defensive,10,5,0.0,0,0,0,0
CAR,Colin Thompson,defensive,1,1,0.0,0,0,0,0
CAR,DJ Moore,defensive,6,5,0.0,0,0,0,0
CAR,DaQuan Jones,defensive,38,19,1.0,1,0,6,0
CAR,Darryl Johnson,defensive,1,0,0.0,0,0,0,0
CAR,Daviyon Nixon,defensive,9,1,0.5,0,0,2,0
CAR,Dennis Daley,defensive,1,0,0.0,0,0,0,0
CAR,Derrick Brown,defensive,41,27,3.0,8,4,9,0
CAR,Donte Jackson,defensive,61,50,0.0,3,10,0,0
CAR,Frank Herron,defensive,1,1,0.0,0,0,0,0
CAR,Frankie Luvu,defensive,43,26,1.5,8,1,5,0
CAR,Giovanni Ricci,defensive,7,5,0.0,0,0,0,0
CAR,Haason Reddick,defensive,68,37,11.0,12,0,18,0
CAR,Ian Thomas,defensive,1,1,0.0,0,0,0,0
CAR,JJ Jansen,defensive,1,0,0.0,0,0,0,0
CAR,Jaycee Horn,defensive,5,3,0.0,0,1,0,0
CAR,Jeremy Chinn,defensive,107,75,1.0,6,5,5,0
CAR,Jermaine Carter,defensive,88,38,0.0,3,1,3,0
CAR,Joseph Charlton,defensive,1,1,0.0,0,0,0,0
CAR,Julian Stanford,defensive,14,8,0.0,0,0,0,0
CAR,Juston Burris,defensive,23,17,0.0,1,1,0,0
CAR,Kamal Martin,defensive,2,2,0.0,0,0,0,0
CAR,Keith Taylor,defensive,38,31,0.0,1,3,0,0
CAR,Kenny Robinson,defensive,17,12,0.0,0,0,0,1
CAR,Lirim Hajrullahu,defensive,1,1,0.0,0,0,0,0
CAR,Marquis Haynes Sr.,defensive,20,9,3.0,3,1,5,0
CAR,Matt Cole,defensive,1,0,0.0,0,0,0,0
CAR,Matt Paradis,defensive,1,0,0.0,0,0,0,0
CAR,Michael Jordan,defensive,2,2,0.0,0,0,0,0
CAR,Morgan Fox,defensive,34,16,1.5,2,0,7,0
CAR,Myles Hartsfield,defensive,45,30,1.0,2,4,1,0
CAR,PJ Walker,defensive,1,0,0.0,0,0,0,0
CAR,Pat Elflein,defensive,1,1,0.0,0,0,0,0
CAR,Phil Hoskins,defensive,4,3,1.0,1,0,1,0
CAR,Rashaan Melvin,defensive,16,12,0.0,1,0,0,0
CAR,Robbie Chosen,defensive,1,1,0.0,0,0,0,0
CAR,Rodney Smith,defensive,1,0,0.0,0,0,0,0
CAR,Sam Franklin Jr.,defensive,24,19,0.0,1,1,1,0
CAR,Sean Chandler,defensive,48,27,0.0,0,1,1,0
CAR,Shaq Thompson,defensive,104,65,2.0,9,5,6,0
CAR,Shi Smith,defensive,1,1,0.0,0,0,0,0
CAR,Stantley Thomas-Oliver III,defensive,7,3,0.0,0,0,0,0
CAR,Stephon Gilmore,defensive,16,15,0.0,1,2,0,0
CAR,Taylor Moton,defensive,1,0,0.0,0,0,0,0
CAR,Tommy Tremble,defensive,3,2,0.0,0,0,0,0
CAR,Trent Scott,defensive,1,1,0.0,0,0,0,0
CAR,Yetur Gross-Matos,defensive,28,18,3.5,5,1,4,0
CAR,Zane Gonzalez,defensive,1,1,0.0,0,0,0,0
