team,player,category,TOT,SOLO,SACKS,TFL,PD,QB HTS,TD
CLE,A.J. Green III,defensive,21,15,0.0,0,6,0,0
CLE,Andrew Billings,defensive,1,0,0.0,0,0,0,0
CLE,Andy Janovich,defensive,2,2,0.0,0,0,0,0
CLE,Anthony Schwartz,defensive,2,2,0.0,0,0,0,0
CLE,Anthony Walker Jr.,defensive,113,69,1.0,2,2,1,0
CLE,Austin Hooper,defensive,2,2,0.0,0,0,0,0
CLE,Curtis Weaver,defensive,1,0,0.0,0,0,1,0
CLE,D'Ernest Johnson,defensive,1,0,0.0,0,0,0,0
CLE,David Njoku,defensive,2,2,0.0,0,0,0,0
CLE,Demetric Felton,defensive,4,2,0.0,0,0,0,0
CLE,Denzel Ward,defensive,43,34,0.5,1,10,2,1
CLE,Donovan Peoples-Jones,defensive,2,2,0.0,0,0,0,0
CLE,Elijah Lee,defensive,15,11,0.0,0,0,0,0
CLE,Grant Delpit,defensive,66,43,1.0,3,3,1,0
CLE,Greedy Williams,defensive,41,35,0.0,0,10,0,0
CLE,Greg Newsome II,defensive,37,33,0.0,0,9,0,0
CLE,Harrison Bryant,defensive,3,1,0.0,0,0,0,0
CLE,Herb Miller,defensive,5,4,0.0,0,0,0,0
CLE,Ifeadi Odenigbo,defensive,13,7,0.0,0,0,3,0
CLE,Ja'Marcus Bradley,defensive,3,2,0.0,0,0,0,0
CLE,Jack Conklin,defensive,1,1,0.0,0,0,0,0
CLE,Jacob Phillips,defensive,17,13,1.0,2,3,1,0
CLE,Jadeveon Clowney,defensive,37,24,9.0,11,2,19,0
CLE,Jamie Gillan,defensive,3,2,0.0,0,0,0,0
CLE,Jarvis Landry,defensive,1,1,0.0,0,0,0,0
CLE,Jeremiah Owusu-Koramoah,defensive,76,49,1.5,3,4,4,0
CLE,Joe Jackson,defensive,16,9,1.5,3,0,3,0
CLE,John Johnson III,defensive,61,37,0.5,1,5,2,0
CLE,Jordan Elliott,defensive,26,10,0.5,0,1,4,0
CLE,Josiah Bronson,defensive,1,1,0.0,0,0,0,0
CLE,Jovante Moffatt,defensive,9,5,0.0,0,0,0,0
CLE,M.J. Stewart,defensive,47,34,0.0,2,4,0,0
CLE,Mack Wilson Sr.,defensive,42,26,0.0,0,0,0,0
CLE,Malcolm Smith,defensive,51,32,0.0,3,5,0,0
CLE,Malik Jackson,defensive,25,7,0.5,2,4,7,0
CLE,Malik McDowell,defensive,33,19,3.0,7,1,5,0
CLE,Miller Forristall,defensive,1,0,0.0,0,0,0,0
CLE,Myles Garrett,defensive,51,33,16.0,17,3,33,1
CLE,Nick Chubb,defensive,1,1,0.0,0,0,0,0
CLE,Nick Harris,defensive,1,1,0.0,0,0,0,0
CLE,Porter Gustin,defensive,9,6,0.0,0,0,0,0
CLE,Richard LeCounte III,defensive,3,2,0.0,0,0,0,0
CLE,Ronnie Harrison Jr.,defensive,58,40,1.0,4,3,1,0
CLE,Sheldon Day,defensive,21,7,1.0,0,2,1,0
CLE,Sione Takitaki,defensive,44,21,0.0,5,0,2,0
CLE,Takk McKinley,defensive,18,10,2.5,3,0,8,0
CLE,Tim Harris,defensive,2,1,0.0,0,0,0,0
CLE,Tommy Togiai,defensive,16,9,0.5,0,1,1,0
CLE,Tony Fields II,defensive,4,2,0.0,0,0,0,0
CLE,Troy Hill,defensive,49,34,2.0,7,1,3,0
CLE,Willie Harvey Jr.,defensive,1,1,0.0,0,0,0,0
