team,player,category,FUM,LOST
DAL,Amari Cooper,fumbles,1,0
DAL,Carlos Watkins,fumbles,0,0
DAL,Cedrick Wilson Jr.,fumbles,3,0
DAL,Chauncey Golston,fumbles,0,0
DAL,Cooper Rush,fumbles,1,1
DAL,Dak Prescott,fumbles,14,6
DAL,Dorance Armstrong,fumbles,0,0
DAL,Ezekiel Elliott,fumbles,1,1
DAL,Jayron Kearse,fumbles,0,0
DAL,Jourdan Lewis,fumbles,0,0
DAL,Kelvin Joseph,fumbles,0,0
DAL,Nahshon Wright,fumbles,1,1
DAL,Randy Gregory,fumbles,0,0
DAL,Tarell Basham,fumbles,0,0
DAL,Tony Pollard,fumbles,2,0
DAL,Tyler Biadasz,fumbles,3,0
DAL,Zack Martin,fumbles,0,0
