team,player,category,TOT,SOLO,SACKS,TFL,PD,QB HTS,TD
KC,Alex Okafor,defensive,23,7,1.5,0,2,7,0
KC,Anthony Hitchens,defensive,80,41,0.0,4,2,2,0
KC,Armani Watts,defensive,19,11,0.0,1,0,0,0
KC,Ben Niemann,defensive,57,39,1.0,1,1,1,0
KC,Byron Pringle,defensive,1,1,0.0,0,0,0,0
KC,Charvarius Ward,defensive,67,48,0.0,2,10,0,0
KC,Chris Jones,defensive,27,18,9.0,8,5,17,0
KC,Chris Lammons,defensive,6,3,0.0,0,0,0,0
KC,Christian Rozeboom,defensive,1,1,0.0,0,0,0,0
KC,Creed Humphrey,defensive,1,1,0.0,0,0,0,0
KC,Daniel Sorensen,defensive,51,40,1.0,3,8,3,1
KC,Darius Harris,defensive,1,1,0.0,0,0,0,0
KC,Darrel Williams,defensive,3,3,0.0,0,0,0,0
KC,Daurice Fountain,defensive,1,1,0.0,0,0,0,0
KC,DeAndre Baker,defensive,16,13,0.0,0,1,0,0
KC,Demone Harris,defensive,0,0,0.0,0,0,1,0
KC,Derrick Gore,defensive,1,0,0.0,0,0,0,0
KC,Derrick Nnadi,defensive,38,21,3.0,2,0,5,0
KC,Dicaprio Bootle,defensive,8,6,0.0,0,0,0,0
KC,Dorian O'Daniel,defensive,7,4,0.0,0,0,0,0
KC,Frank Clark,defensive,22,15,4.5,4,0,17,0
KC,Jarran Reed,defensive,43,23,2.5,2,1,12,0
KC,Jerick McKinnon,defensive,3,3,0.0,0,0,0,0
KC,Josh Jackson,defensive,4,1,0.0,0,0,0,0
KC,Juan Thornhill,defensive,64,43,0.0,1,3,1,0
KC,Khalen Saunders,defensive,8,2,0.0,0,0,0,0
KC,L'Jarius Sneed,defensive,76,57,1.0,7,8,2,0
KC,Lucas Niang,defensive,2,2,0.0,0,0,0,0
KC,Marcus Kemp,defensive,11,9,0.0,1,0,0,0
KC,Mecole Hardman Jr.,defensive,2,2,0.0,0,0,0,0
KC,Melvin Ingram,defensive,15,7,1.0,2,0,5,0
KC,Michael Burton,defensive,5,2,0.0,0,0,0,0
KC,Mike Danna,defensive,26,11,3.0,3,1,10,0
KC,Mike Hughes,defensive,47,40,0.0,0,6,0,1
KC,Nick Bolton,defensive,112,70,0.0,11,3,3,1
KC,Noah Gray,defensive,2,0,0.0,0,0,0,0
KC,Patrick Mahomes,defensive,1,1,0.0,0,0,0,0
KC,Rashad Fenton,defensive,49,39,0.0,0,7,0,0
KC,Tershawn Wharton,defensive,29,13,2.0,0,1,2,0
KC,Travis Kelce,defensive,1,1,0.0,0,0,0,0
KC,Trey Smith,defensive,1,1,0.0,0,0,0,0
KC,Tyrann Mathieu,defensive,76,60,1.0,2,6,2,1
KC,Tyreek Hill,defensive,2,2,0.0,0,0,0,0
KC,Willie Gay Jr.,defensive,48,26,0.5,1,4,1,0
KC,Zayne Anderson,defensive,1,1,0.0,0,0,0,0
