team,player,category,REC,YDS,AVG,TD,LONG,TGTS
LAC,Austin Ekeler,receiving,70,647,9.37,8,40,94
LAC,Darius Bradwell,receiving,0,0,0.0,0,0,1
LAC,Donald Parham Jr.,receiving,20,190,8.29,3,22,27
LAC,Gabe Nabers,receiving,3,17,5.75,0,8,3
LAC,Jalen Guyton,receiving,31,448,12.56,3,59,48
LAC,Jared Cook,receiving,48,564,12.28,4,42,83
LAC,Jason Moore,receiving,3,56,18.7,0,24,4
LAC,Joshua Kelley,receiving,5,38,7.62,0,17,6
LAC,Joshua Palmer,receiving,33,353,11.11,4,36,49
LAC,Justin Jackson,receiving,22,178,5.75,0,25,25
LAC,KJ Hill Jr.,receiving,3,30,10.0,0,19,3
LAC,Keenan Allen,receiving,106,1138,11.16,6,42,157
LAC,Larry Rountree III,receiving,1,-1,-0.5,0,0,2
LAC,Mike Williams,receiving,76,1146,15.28,9,72,129
LAC,Stephen Anderson,receiving,16,165,9.57,1,34,19
LAC,Tevaughn Campbell,receiving,0,0,0.0,0,0,1
LAC,Tre' McKitty,receiving,6,45,5.05,0,12,8
