team,player,category,TOT,SOLO,SACKS,TFL,PD,QB HTS,TD
MIA, Team,defensive,1,1,1.0,0,0,0,0
MIA,Adam Butler,defensive,17,9,2.0,2,3,5,0
MIA,Andrew Van Ginkel,defensive,71,50,4.0,9,7,20,0
MIA,Austin Jackson,defensive,2,1,0.0,0,0,0,0
MIA,Blake Ferguson,defensive,3,2,0.0,0,0,0,0
MIA,Brandon Jones,defensive,79,48,5.0,6,1,10,0
MIA,Brennan Scarlett,defensive,19,6,0.0,1,1,1,0
MIA,Byron Jones,defensive,58,47,0.0,0,10,0,0
MIA,Calvin Munson,defensive,2,1,0.0,0,0,0,0
MIA,Cethan Carter,defensive,8,4,0.0,0,0,0,0
MIA,Christian Wilkins,defensive,89,49,4.5,10,4,13,0
MIA,Clayton Fejedelem,defensive,7,5,0.0,0,0,0,0
MIA,DeVante Parker,defensive,2,2,0.0,0,0,0,0
MIA,Duke Riley,defensive,26,15,0.0,0,0,0,0
MIA,Durham Smythe,defensive,2,1,0.0,0,0,0,0
MIA,Elandon Roberts,defensive,83,42,1.0,6,4,2,1
MIA,Elijah Campbell,defensive,2,2,0.0,0,0,0,0
MIA,Emmanuel Ogbah,defensive,41,26,9.0,9,12,24,0
MIA,Eric Rowe,defensive,72,44,0.0,0,4,1,0
MIA,Greg Mancz,defensive,1,1,0.0,0,0,0,0
MIA,Isaiah Ford,defensive,1,1,0.0,0,0,0,0
MIA,Jabaal Sheard,defensive,1,0,0.0,0,0,0,0
MIA,Jaelan Phillips,defensive,42,23,8.5,9,1,16,0
MIA,Jamal Perry,defensive,2,2,0.0,0,0,0,0
MIA,Jason McCourty,defensive,21,10,0.0,0,2,0,0
MIA,Javaris Davis,defensive,2,2,0.0,0,1,0,0
MIA,Jaylen Waddle,defensive,4,4,0.0,0,0,0,0
MIA,Jerome Baker,defensive,92,62,5.5,9,4,15,0
MIA,Jevon Holland,defensive,69,48,2.5,3,10,7,0
MIA,John Jenkins,defensive,16,10,0.0,0,0,0,0
MIA,Justin Coleman,defensive,27,20,0.0,1,3,0,1
MIA,Mack Hollins,defensive,11,9,0.0,0,0,0,0
MIA,Mike Gesicki,defensive,2,2,0.0,0,0,0,0
MIA,Nik Needham,defensive,59,48,1.0,1,5,2,1
MIA,Noah Igbinoghene,defensive,6,6,0.0,0,0,0,0
MIA,Raekwon Davis,defensive,28,12,0.5,1,0,1,0
MIA,Salvon Ahmed,defensive,1,1,0.0,0,0,0,0
MIA,Sam Eguavoen,defensive,16,9,0.5,0,0,7,1
MIA,Sheldrick Redwine,defensive,2,1,0.0,0,0,0,0
MIA,Tua Tagovailoa,defensive,1,0,0.0,0,0,0,0
MIA,Vince Biegel,defensive,2,1,0.0,0,0,0,0
MIA,Xavien Howard,defensive,50,39,1.0,0,16,1,2
MIA,Zach Sieler,defensive,62,33,2.0,6,3,3,0
