team,player,category,TOT,SOLO,SACKS,TFL,PD,QB HTS,TD
MIN,Andrew DePaola,defensive,4,2,0.0,0,0,0,0
MIN,Anthony Barr,defensive,72,38,2.5,3,5,6,0
MIN,Armon Watts,defensive,46,20,5.0,3,0,10,0
MIN,Bashaud Breeland,defensive,63,47,0.0,1,5,0,0
MIN,Ben Ellefson,defensive,2,0,0.0,0,0,0,0
MIN,Blake Lynch,defensive,35,23,2.0,1,2,1,0
MIN,Brian O'Neill,defensive,1,1,0.0,0,0,0,0
MIN,C.J. Ham,defensive,1,0,0.0,0,0,0,0
MIN,Cam Bynum,defensive,28,20,1.0,1,3,1,0
MIN,Cameron Dantzler Sr.,defensive,53,44,0.0,0,8,0,0
MIN,DJ Wonnum,defensive,47,29,8.0,7,4,15,0
MIN,Dalvin Tomlinson,defensive,39,17,2.5,2,2,7,0
MIN,Dan Chisena,defensive,3,2,0.0,0,0,0,0
MIN,Danielle Hunter,defensive,38,23,6.0,6,0,11,0
MIN,Dede Westbrook,defensive,1,1,0.0,0,0,0,0
MIN,Eric Kendricks,defensive,143,81,5.0,8,4,5,0
MIN,Everson Griffen,defensive,15,10,5.0,4,0,10,0
MIN,Ezra Cleveland,defensive,2,2,0.0,0,0,0,0
MIN,Garrett Bradbury,defensive,1,0,0.0,0,0,0,0
MIN,Harrison Hand,defensive,5,5,0.0,0,0,0,0
MIN,Harrison Smith,defensive,114,83,3.0,3,7,5,0
MIN,James Lynch,defensive,30,18,1.0,2,0,1,0
MIN,Joshua Metellus,defensive,13,8,0.0,0,1,0,0
MIN,K.J. Osborn,defensive,2,2,0.0,0,0,0,0
MIN,Kene Nwangwu,defensive,0,0,0.0,0,0,0,2
MIN,Kenny Willekes,defensive,18,11,2.5,2,1,7,0
MIN,Kirk Cousins,defensive,1,1,0.0,0,0,0,0
MIN,Kris Boyd,defensive,26,21,0.0,0,0,0,0
MIN,Luke Stocker,defensive,2,2,0.0,0,0,0,0
MIN,Mackensie Alexander,defensive,51,33,0.0,1,5,0,0
MIN,Michael Pierce,defensive,20,12,3.0,3,0,4,0
MIN,Myles Dorn,defensive,3,1,0.0,0,0,0,0
MIN,Nick Vigil,defensive,85,45,1.0,4,1,3,1
MIN,Parry Nickerson,defensive,1,1,0.0,0,0,0,0
MIN,Patrick Jones II,defensive,7,4,0.0,0,0,0,0
MIN,Patrick Peterson,defensive,45,34,0.0,2,5,0,1
MIN,Ryan Connelly,defensive,3,2,0.0,0,0,0,0
MIN,Sheldon Richardson,defensive,39,24,2.5,6,4,13,0
MIN,Stephen Weatherly,defensive,9,6,0.0,1,0,0,0
MIN,T.J. Smith,defensive,3,1,0.0,0,0,0,0
MIN,T.Y. McGill,defensive,1,0,0.0,0,1,1,0
MIN,Tashawn Bower,defensive,1,1,0.0,0,0,0,0
MIN,Troy Dye,defensive,20,12,0.0,0,0,0,0
MIN,Tye Smith,defensive,6,5,0.0,0,0,0,0
MIN,Xavier Woods,defensive,108,72,1.0,1,10,1,0
