team,player,category,FUM,LOST
NO,Adam Trautman,fumbles,1,1
NO,Alvin Kamara,fumbles,0,0
NO,Christian Ringo,fumbles,0,0
NO,David Onyemata,fumbles,0,0
NO,Deonte Harty,fumbles,2,1
NO,Garrett Griffin,fumbles,1,0
NO,Jameis Winston,fumbles,2,1
NO,Kaden Elliss,fumbles,0,0
NO,Kwon Alexander,fumbles,1,0
NO,Marcus Davenport,fumbles,0,0
NO,Mark Ingram II,fumbles,1,1
NO,Marshon Lattimore,fumbles,0,0
NO,Shy Tuttle,fumbles,0,0
NO,Taysom Hill,fumbles,2,0
NO,Tre'Quan Smith,fumbles,1,0
NO,Trevor Siemian,fumbles,3,1
