team,player,category,CAR,YDS,AVG,TD,LONG
NYG,Alex Bachman,rushing,1,-3,-3.0,0,-3
NYG,C.J. Board,rushing,1,6,6.0,0,6
NYG,Daniel Jones,rushing,62,298,4.35,2,46
NYG,Darius Slayton,rushing,1,-13,-13.0,0,-13
NYG,Devontae Booker,rushing,145,593,4.38,2,31
NYG,Elijhaa Penny,rushing,24,99,4.28,1,12
NYG,Evan Engram,rushing,1,-3,-3.0,0,-3
NYG,Gary Brightwell,rushing,1,4,4.0,0,4
NYG,Jake Fromm,rushing,8,65,7.3,0,27
NYG,John Ross,rushing,1,16,16.0,0,16
NYG,Kadarius Toney,rushing,3,6,2.0,0,7
NYG,Mike Glennon,rushing,7,33,5.3,1,13
NYG,Pharoh Cooper,rushing,1,3,3.0,0,3
NYG,Saquon Barkley,rushing,162,593,3.69,2,41
NYG,Sterling Shepard,rushing,1,-9,-9.0,0,-9
