team,player,category,FUM,LOST
PHI,Alex Singleton,fumbles,0,0
PHI,Boston Scott,fumbles,1,1
PHI,Dallas Goedert,fumbles,1,0
PHI,Darius Slay,fumbles,0,0
PHI,DeVonta Smith,fumbles,1,1
PHI,Fletcher Cox,fumbles,0,0
PHI,Gardner Minshew II,fumbles,1,0
PHI,J.J. Arcega-Whiteside,fumbles,0,0
PHI,Jack Stoll,fumbles,0,0
PHI,Jalen Hurts,fumbles,9,2
PHI,Jalen Reagor,fumbles,2,0
PHI,Jason Kelce,fumbles,1,0
PHI,John Hightower,fumbles,1,0
PHI,Jordan Howard,fumbles,0,0
PHI,Kenny Gainwell,fumbles,2,1
PHI,Miles Sanders,fumbles,1,1
PHI,Nate Herbig,fumbles,2,0
PHI,T.J. Edwards,fumbles,0,0
