team,player,category,CAR,YDS,AVG,TD,LONG
PIT,Anthony McFarland Jr.,rushing,3,3,1.0,0,3
PIT,Ben Roethlisberger,rushing,20,5,0.5,1,8
PIT,Benny Snell Jr.,rushing,36,98,2.48,0,9
PIT,Chase Claypool,rushing,14,96,6.56,0,25
PIT,Derek Watt,rushing,1,1,1.0,0,1
PIT,Diontae Johnson,rushing,5,53,11.88,0,25
PIT,Eric Ebron,rushing,1,1,1.0,1,1
PIT,James Washington,rushing,2,13,6.5,0,12
PIT,JuJu Smith-Schuster,rushing,3,9,3.0,1,3
PIT,Kalen Ballage,rushing,12,36,2.42,0,13
PIT,Mason Rudolph,rushing,5,53,13.0,0,26
PIT,Najee Harris,rushing,307,1200,3.68,7,37
PIT,Ray-Ray McCloud III,rushing,2,15,7.5,0,10
