team,player,category,TOT,SOLO,SACKS,TFL,PD,QB HTS,TD
SF,Ambry Thomas,defensive,23,17,0.0,1,5,0,0
SF,Arden Key,defensive,22,11,6.5,5,1,16,0
SF,Arik Armstead,defensive,63,29,6.0,7,0,11,0
SF,Azeez Al-Shaair,defensive,102,58,2.0,9,5,2,0
SF,Brian Hill,defensive,1,0,0.0,0,0,0,0
SF,Charles Omenihu,defensive,6,6,0.0,0,1,1,0
SF,Charlie Woerner,defensive,7,6,0.0,0,0,0,0
SF,Curtis Robinson,defensive,1,1,0.0,0,0,0,0
SF,D.J. Jones,defensive,56,40,2.0,10,1,3,0
SF,Daniel Brunskill,defensive,3,3,0.0,0,0,0,0
SF,Darqueze Dennard,defensive,1,1,0.0,0,0,0,0
SF,Dee Ford,defensive,5,3,3.0,2,0,4,0
SF,Deebo Samuel,defensive,1,1,0.0,0,0,0,0
SF,Demetrius Flannigan-Fowles,defensive,29,13,0.0,0,0,0,0
SF,Deommodore Lenoir,defensive,17,12,0.0,1,2,0,0
SF,Dontae Johnson,defensive,30,20,0.0,0,2,0,0
SF,Dre Greenlaw,defensive,21,10,0.0,0,1,1,1
SF,Dre Kirkpatrick,defensive,7,6,0.0,1,0,0,0
SF,Emmanuel Moseley,defensive,42,33,0.0,2,11,0,0
SF,Fred Warner,defensive,137,79,0.5,7,4,3,0
SF,George Kittle,defensive,2,2,0.0,0,0,0,0
SF,JaMycal Hasty,defensive,5,5,0.0,0,0,0,0
SF,Jaquiski Tartt,defensive,66,42,0.0,5,1,1,0
SF,Jarrod Wilson,defensive,3,2,0.0,0,0,0,0
SF,Jason Verrett,defensive,5,3,0.0,0,0,0,0
SF,Jauan Jennings,defensive,1,1,0.0,0,0,0,0
SF,Javon Kinlaw,defensive,8,1,0.0,0,0,1,0
SF,Jeff Wilson Jr.,defensive,1,1,0.0,0,0,0,0
SF,Jimmie Ward,defensive,77,51,0.0,1,6,0,1
SF,Jordan Willis,defensive,15,6,3.0,2,0,5,0
SF,Josh Norman,defensive,49,36,0.0,3,5,0,0
SF,K'Waun Williams,defensive,52,40,1.0,5,4,2,0
SF,Kentavius Street,defensive,27,15,3.0,6,0,5,0
SF,Kevin Givens,defensive,17,7,0.0,1,0,2,0
SF,Kyle Juszczyk,defensive,3,1,0.0,0,0,0,0
SF,Marcell Harris,defensive,44,24,1.0,2,1,1,0
SF,Mark Nzeocha,defensive,2,1,0.0,0,0,0,0
SF,Maurice Hurst II,defensive,2,2,0.0,1,0,0,0
SF,Mike McGlinchey,defensive,1,1,0.0,0,0,0,0
SF,Mitch Wishnowsky,defensive,3,3,0.0,0,0,0,0
SF,Mohamed Sanu,defensive,1,1,0.0,0,0,0,0
SF,Nick Bosa,defensive,52,40,15.5,21,1,33,0
SF,River Cracraft,defensive,3,2,0.0,0,0,0,0
SF,Ross Dwelley,defensive,1,1,0.0,0,0,0,0
SF,Samson Ebukam,defensive,38,21,4.5,5,1,11,0
SF,Talanoa Hufanga,defensive,32,24,0.0,1,2,1,0
SF,Tavon Wilson,defensive,10,6,0.0,0,1,0,0
SF,Tom Compton,defensive,1,1,0.0,0,0,0,0
SF,Tony Jefferson,defensive,1,0,0.0,0,0,0,0
SF,Travis Benjamin,defensive,1,1,0.0,0,0,0,0
SF,Trent Sherfield,defensive,4,4,0.0,0,0,0,0
SF,Trent Williams,defensive,1,1,0.0,0,0,0,0
SF,Trenton Cannon,defensive,8,7,0.0,0,0,0,0
SF,Trey Sermon,defensive,2,1,0.0,0,0,0,0
SF,Tyrell Adams,defensive,1,1,0.0,0,0,0,0
SF,Zach Kerr,defensive,3,1,0.0,0,0,0,0
