team,player,category,TOT,SOLO,SACKS,TFL,PD,QB HTS,TD
TB,Ali Marpet,defensive,2,1,0.0,0,0,0,0
TB,Andrew Adams,defensive,24,16,0.0,1,4,1,0
TB,Anthony Nelson,defensive,22,13,5.0,7,1,10,0
TB,Antoine Winfield Jr.,defensive,88,62,2.0,4,6,3,0
TB,Benning Potoa'e,defensive,1,0,0.0,0,0,0,0
TB,Cam Gill,defensive,11,7,1.5,1,0,3,0
TB,Cameron Brate,defensive,1,1,0.0,0,0,0,0
TB,Carlton Davis III,defensive,39,33,0.0,2,11,0,0
TB,Chris Godwin Jr.,defensive,1,1,0.0,0,0,0,0
TB,Dee Delaney,defensive,17,13,0.0,0,2,0,0
TB,Devin White,defensive,128,87,3.5,8,3,18,0
TB,Giovani Bernard,defensive,1,1,0.0,0,0,0,0
TB,Grant Stuard,defensive,15,8,0.0,0,0,0,0
TB,Jamel Dean,defensive,53,44,0.0,2,9,0,0
TB,Jason Pierre-Paul,defensive,31,20,2.5,3,4,5,0
TB,Joe Tryon-Shoyinka,defensive,29,21,4.0,5,3,10,0
TB,Jordan Whitehead,defensive,73,58,0.0,5,8,1,0
TB,K.J. Britt,defensive,12,7,0.0,1,1,1,0
TB,Kevin Minter,defensive,40,26,1.0,2,0,3,0
TB,Lavonte David,defensive,97,63,2.0,5,3,4,0
TB,Leonard Fournette,defensive,1,0,0.0,0,0,0,0
TB,Mike Edwards,defensive,46,34,0.0,1,7,0,2
TB,Mike Evans,defensive,2,2,0.0,0,0,0,0
TB,Ndamukong Suh,defensive,27,15,6.0,7,0,13,0
TB,Pat O'Connor,defensive,4,2,0.5,1,0,2,0
TB,Pierre Desir,defensive,28,26,0.0,0,4,0,0
TB,Rakeem Nunez-Roches,defensive,17,5,0.0,3,0,1,0
TB,Rashard Robinson,defensive,4,3,0.0,0,0,0,0
TB,Richard Sherman,defensive,11,11,0.0,0,1,0,0
TB,Ross Cockrell,defensive,43,29,0.0,0,7,2,0
TB,Ryan Jensen,defensive,2,2,0.0,0,0,0,0
TB,Scotty Miller,defensive,2,2,0.0,0,0,0,0
TB,Sean Murphy-Bunting,defensive,43,30,0.0,1,3,0,0
TB,Shaquil Barrett,defensive,51,37,10.0,9,4,22,0
TB,Sterling Hofrichter,defensive,1,1,0.0,0,0,0,0
TB,Steve McLendon,defensive,11,7,0.5,1,1,5,0
TB,Tristan Wirfs,defensive,1,1,0.0,0,0,0,0
TB,Tyler Johnson,defensive,1,1,0.0,0,0,0,0
TB,Vita Vea,defensive,33,22,4.0,5,3,12,0
TB,William Gholston,defensive,36,21,4.5,7,0,11,0
TB,Zach Triner,defensive,3,3,0.0,0,0,0,0
