team,player,category,CAR,YDS,AVG,TD,LONG
TB,Antonio Brown,rushing,1,6,6.0,0,6
TB,Blaine Gabbert,rushing,9,-7,-0.82,0,0
TB,Breshad Perriman,rushing,1,-3,-3.0,0,-3
TB,Chris Godwin Jr.,rushing,4,21,5.25,1,9
TB,Cyril Grayson Jr.,rushing,1,14,14.0,0,14
TB,Giovani Bernard,rushing,8,58,6.82,0,24
TB,Jaelon Darden,rushing,1,11,11.0,0,11
TB,Ke'Shawn Vaughn,rushing,36,180,4.97,2,55
TB,Kenjon Barner,rushing,4,0,0.0,0,1
TB,Le'Veon Bell,rushing,8,18,1.97,0,7
TB,Leonard Fournette,rushing,180,812,4.26,8,47
TB,Mike Evans,rushing,1,10,10.0,0,10
TB,Ronald Jones,rushing,101,428,4.07,4,30
TB,Scotty Miller,rushing,2,43,21.5,1,33
TB,Tom Brady,rushing,28,81,4.16,2,13
