team,player,category,FUM,LOST
ARI,Ben Niemann,fumbles,0,0
ARI,Billy Price,fumbles,1,0
ARI,Byron Murphy Jr.,fumbles,0,0
ARI,Chris Banjo,fumbles,0,0
ARI,Colt McCoy,fumbles,2,0
ARI,David Blough,fumbles,1,1
ARI,DeAndre Hopkins,fumbles,2,1
ARI,Greg Dortch,fumbles,1,1
ARI,Hollywood Brown,fumbles,1,0
ARI,Isaiah Simmons,fumbles,0,0
ARI,J.J. Watt,fumbles,0,0
ARI,Jalen Thompson,fumbles,0,0
ARI,James Conner,fumbles,3,1
ARI,Kelvin Beachum,fumbles,0,0
ARI,Kyler Murray,fumbles,8,2
ARI,Leki Fotu,fumbles,0,0
ARI,Myjai Sanders,fumbles,0,0
ARI,Rodney Hudson,fumbles,2,0
ARI,Sean Harlow,fumbles,1,0
ARI,Trace McSorley,fumbles,2,2
ARI,Trey McBride,fumbles,1,0
