team,player,category,REC,YDS,AVG,TD,LONG,TGTS
ARI,A.J. Green,receiving,24,236,6.75,2,77,47
ARI,Andre Baccellia,receiving,7,45,6.5,0,11,10
ARI,Andy Isabella,receiving,2,21,10.5,0,11,5
ARI,Corey Clement,receiving,5,54,9.32,0,21,7
ARI,Darrel Williams,receiving,4,9,1.12,0,6,8
ARI,DeAndre Hopkins,receiving,64,717,10.91,3,33,96
ARI,Eno Benjamin,receiving,24,184,8.32,0,22,33
ARI,Greg Dortch,receiving,52,467,7.38,2,47,64
ARI,Hollywood Brown,receiving,67,709,10.62,3,47,107
ARI,James Conner,receiving,46,300,7.12,1,22,58
ARI,Kamu Grugier-Hill,receiving,1,4,4.0,0,4,1
ARI,Keaontay Ingram,receiving,4,21,5.25,0,24,5
ARI,Maxx Williams,receiving,3,18,6.25,0,7,3
ARI,Pharoh Cooper,receiving,2,6,3.0,0,3,2
ARI,Robbie Chosen,receiving,7,76,5.5,0,21,17
ARI,Rondale Moore,receiving,41,414,12.1,1,38,56
ARI,Stephen Anderson,receiving,3,9,1.1,0,6,7
ARI,Trey McBride,receiving,29,265,8.12,1,29,39
ARI,Ty'Son Williams,receiving,1,5,5.0,0,5,1
