team,player,category,TOT,SOLO,SACKS,TFL,PD,QB HTS,TD
ATL,A.J. Terrell Jr.,defensive,47,36,0.0,1,9,0,0
ATL,Abdullah Anderson,defensive,40,15,1.0,2,1,1,0
ATL,Adetokunbo Ogundeji,defensive,42,19,2.0,3,0,1,0
ATL,Anthony Rush,defensive,7,3,0.0,0,0,0,0
ATL,Arnold Ebiketie,defensive,30,21,2.5,3,2,11,0
ATL,Avery Williams,defensive,3,0,0.0,0,0,0,0
ATL,Casey Hayward,defensive,17,14,0.0,0,3,0,0
ATL,Chris Lindstrom,defensive,2,1,0.0,0,0,0,0
ATL,Cordarrelle Patterson,defensive,1,1,0.0,0,0,0,1
ATL,Cornell Armstrong,defensive,33,22,0.0,0,7,0,0
ATL,Damiere Byrd,defensive,1,1,0.0,0,0,0,0
ATL,Darren Hall,defensive,45,29,0.0,1,3,0,0
ATL,DeAngelo Malone,defensive,29,18,1.0,4,0,2,0
ATL,Dean Marlowe,defensive,11,7,0.0,0,0,0,0
ATL,Dee Alford,defensive,25,18,0.5,1,7,1,0
ATL,Drake London,defensive,3,2,0.0,0,0,0,0
ATL,Drew Dalman,defensive,1,1,0.0,0,0,0,0
ATL,Erik Harris,defensive,13,7,0.0,0,0,0,0
ATL,Feleipe Franks,defensive,1,1,0.0,0,0,0,0
ATL,Grady Jarrett,defensive,61,30,6.0,12,3,17,0
ATL,Isaiah Oliver,defensive,37,25,1.0,3,7,2,0
ATL,Jaleel Johnson,defensive,10,7,0.0,0,0,1,0
ATL,Jalen Dalton,defensive,13,8,0.0,1,0,0,0
ATL,Jaylinn Hawkins,defensive,84,45,0.0,0,6,1,1
ATL,Kaleb McGary,defensive,1,0,0.0,0,0,0,0
ATL,Keith Smith,defensive,4,3,0.0,0,0,0,0
ATL,KhaDarel Hodge,defensive,9,7,0.0,0,0,0,0
ATL,Liam McCullough,defensive,3,1,0.0,0,0,0,0
ATL,Lorenzo Carter,defensive,58,29,4.0,6,2,12,2
ATL,Marcus Mariota,defensive,1,1,0.0,0,0,0,0
ATL,Matt Dickerson,defensive,12,3,0.0,1,0,1,0
ATL,Mike Ford Jr.,defensive,15,7,0.0,1,0,1,0
ATL,Mykal Walker,defensive,107,56,1.0,4,6,1,0
ATL,Nate Landman,defensive,1,0,0.0,0,0,1,0
ATL,Nick Kwiatkoski,defensive,7,3,0.0,0,0,0,0
ATL,Olamide Zaccheaus,defensive,1,1,0.0,0,0,0,0
ATL,Parker Hesse,defensive,2,2,0.0,0,0,0,0
ATL,Quinton Bell,defensive,3,2,0.0,1,0,0,0
ATL,Rashaan Evans,defensive,159,86,2.0,6,4,3,0
ATL,Rashad Fenton,defensive,4,3,0.0,0,0,0,0
ATL,Richie Grant,defensive,123,70,0.0,3,7,1,0
ATL,Ta'Quon Graham,defensive,34,15,0.0,1,0,8,0
ATL,Timmy Horne,defensive,27,13,0.0,0,1,1,0
ATL,Troy Andersen,defensive,69,40,0.0,3,1,3,0
ATL,Tyler Allgeier,defensive,3,2,0.0,0,0,0,0
