team,player,category,FUM,LOST
ATL,A.J. Terrell Jr.,fumbles,1,0
ATL,Avery Williams,fumbles,1,1
ATL,Caleb Huntley,fumbles,1,0
ATL,Cordarrelle Patterson,fumbles,1,1
ATL,Darren Hall,fumbles,0,0
ATL,Desmond Ridder,fumbles,3,2
ATL,Drake London,fumbles,3,3
ATL,Drew Dalman,fumbles,1,0
ATL,Jaylinn Hawkins,fumbles,0,0
ATL,Kaleb McGary,fumbles,0,0
ATL,Lorenzo Carter,fumbles,0,0
ATL,Marcus Mariota,fumbles,8,3
ATL,Olamide Zaccheaus,fumbles,1,1
ATL,Rashaan Evans,fumbles,0,0
ATL,Richie Grant,fumbles,0,0
ATL,Ta'Quon Graham,fumbles,1,1
ATL,Tyler Allgeier,fumbles,0,0
