team,player,category,REC,YDS,AVG,TD,LONG,TGTS
ATL,Anthony Firkser,receiving,9,100,10.38,0,22,13
ATL,Avery Williams,receiving,13,61,4.05,0,10,14
ATL,Bryan Edwards,receiving,3,15,3.75,0,10,5
ATL,Caleb Huntley,receiving,2,3,1.5,0,2,2
ATL,Cordarrelle Patterson,receiving,21,122,5.42,0,16,31
ATL,Damiere Byrd,receiving,13,268,14.18,2,75,23
ATL,Drake London,receiving,72,866,11.28,4,40,117
ATL,Feleipe Franks,receiving,0,0,0.0,0,0,2
ATL,Frank Darby,receiving,1,15,15.0,0,15,1
ATL,Josh Ali,receiving,0,0,0.0,0,0,1
ATL,Keith Smith,receiving,1,8,4.0,0,8,2
ATL,KhaDarel Hodge,receiving,13,202,11.97,1,39,20
ATL,Kyle Pitts Sr.,receiving,28,356,12.85,2,33,59
ATL,MyCole Pruitt,receiving,16,150,7.61,4,29,21
ATL,Olamide Zaccheaus,receiving,40,533,12.69,3,45,61
ATL,Parker Hesse,receiving,9,89,9.89,0,22,11
ATL,Tyler Allgeier,receiving,16,139,9.71,1,26,17
