team,player,category,TOT,SOLO,SACKS,TFL,PD,QB HTS,TD
BUF,A.J. Klein,defensive,11,7,0.0,1,0,0,0
BUF,AJ Epenesa,defensive,16,13,6.5,7,5,10,0
BUF,Baylon Spector,defensive,6,6,0.0,0,0,0,0
BUF,Boogie Basham,defensive,19,9,2.0,1,2,5,0
BUF,Brandin Bryant,defensive,3,2,0.0,0,0,0,0
BUF,C.J. Brewer,defensive,2,2,0.0,0,0,0,0
BUF,Cam Lewis,defensive,21,15,0.0,0,0,0,0
BUF,Christian Benford,defensive,24,17,0.0,1,5,0,0
BUF,DaQuan Jones,defensive,38,22,2.0,3,0,11,0
BUF,Damar Hamlin,defensive,91,63,1.5,6,2,3,0
BUF,Dane Jackson,defensive,57,49,0.0,1,12,0,0
BUF,David Quessenberry,defensive,1,1,0.0,0,0,0,0
BUF,Dawson Knox,defensive,3,2,0.0,0,0,0,0
BUF,Dean Marlowe,defensive,3,3,0.0,0,0,0,0
BUF,Devin Singletary,defensive,3,2,0.0,0,0,0,0
BUF,Dion Dawkins,defensive,1,1,0.0,0,0,0,0
BUF,Ed Oliver,defensive,34,20,2.5,9,3,14,0
BUF,Gabe Davis,defensive,2,2,0.0,0,0,0,0
BUF,Greg Rousseau,defensive,37,27,8.0,10,4,14,0
BUF,Isaiah McKenzie,defensive,1,1,0.0,0,0,0,0
BUF,Ja'Marcus Ingram,defensive,3,2,0.0,0,0,0,0
BUF,Jake Kumerow,defensive,2,2,0.0,0,0,0,0
BUF,James Cook III,defensive,1,1,0.0,0,0,0,0
BUF,Jamison Crowder,defensive,1,1,0.0,0,0,0,0
BUF,Jaquan Johnson,defensive,32,16,0.0,0,1,0,0
BUF,Joe Giles-Harris,defensive,1,1,0.0,0,0,0,0
BUF,Jordan Phillips,defensive,20,9,1.5,3,2,6,0
BUF,Jordan Poyer,defensive,63,44,0.0,4,8,0,0
BUF,Josh Allen,defensive,3,3,0.0,0,0,0,0
BUF,Kaiir Elam,defensive,41,29,0.0,1,4,0,0
BUF,Khalil Shakir,defensive,1,1,0.0,0,0,0,0
BUF,Kingsley Jonathan,defensive,1,1,0.0,1,0,0,0
BUF,Matt Milano,defensive,99,72,1.5,12,11,7,1
BUF,Micah Hyde,defensive,7,4,0.0,0,0,0,0
BUF,Mitch Morse,defensive,1,0,0.0,0,0,0,0
BUF,Nyheim Hines,defensive,1,1,0.0,0,0,0,2
BUF,Prince Emili,defensive,3,0,0.0,0,1,0,0
BUF,Quintin Morris,defensive,3,2,0.0,0,0,0,0
BUF,Reggie Gilliam,defensive,3,2,0.0,0,0,0,0
BUF,Reid Ferguson,defensive,1,1,0.0,0,0,0,0
BUF,Shaq Lawson,defensive,31,19,3.5,6,1,9,0
BUF,Siran Neal,defensive,19,13,0.0,0,4,1,0
BUF,Taiwan Jones,defensive,5,2,0.0,0,0,0,0
BUF,Taron Johnson,defensive,90,67,0.0,6,9,0,0
BUF,Terrel Bernard,defensive,22,11,0.0,0,0,0,0
BUF,Tim Settle,defensive,19,11,1.0,4,1,2,0
BUF,Tre'Davious White,defensive,20,16,0.0,0,6,0,0
BUF,Tremaine Edmunds,defensive,102,66,1.0,6,7,3,0
BUF,Tyler Bass,defensive,4,3,0.0,0,0,0,0
BUF,Tyler Matakevich,defensive,6,5,0.0,0,0,0,0
BUF,Tyrel Dodson,defensive,32,22,1.0,1,0,1,0
BUF,Von Miller,defensive,21,18,8.0,10,2,12,0
BUF,Xavier Rhodes,defensive,4,3,0.0,0,0,0,0
