team,player,category,FUM,LOST
BUF,AJ Epenesa,fumbles,0,0
BUF,Boogie Basham,fumbles,0,0
BUF,DaQuan Jones,fumbles,0,0
BUF,Devin Singletary,fumbles,3,3
BUF,Ed Oliver,fumbles,0,0
BUF,Gabe Davis,fumbles,1,1
BUF,James Cook III,fumbles,1,1
BUF,Jamison Crowder,fumbles,1,0
BUF,Josh Allen,fumbles,13,5
BUF,Matt Milano,fumbles,0,0
BUF,Nyheim Hines,fumbles,1,0
BUF,Quintin Morris,fumbles,1,1
BUF,Ryan Bates,fumbles,0,0
BUF,Spencer Brown,fumbles,0,0
BUF,Stefon Diggs,fumbles,1,0
BUF,Taiwan Jones,fumbles,1,1
BUF,Taron Johnson,fumbles,0,0
BUF,Tim Settle,fumbles,0,0
BUF,Tyrel Dodson,fumbles,0,0
BUF,Zack Moss,fumbles,1,1
