team,player,category,REC,YDS,AVG,TD,LONG,TGTS
CHI,Byron Pringle,receiving,10,135,11.56,2,35,16
CHI,Chase Claypool,receiving,14,140,9.37,0,31,29
CHI,Cole Kmet,receiving,50,544,10.12,7,50,69
CHI,Dante Pettis,receiving,19,245,10.96,3,51,41
CHI,Darnell Mooney,receiving,40,493,12.19,2,56,61
CHI,Darrynton Evans,receiving,1,33,33.0,0,33,1
CHI,David Montgomery,receiving,34,316,9.29,1,32,40
CHI,Equanimeous St. Brown,receiving,21,323,11.99,1,56,38
CHI,Ihmir Smith-Marsette,receiving,1,15,5.0,0,15,4
CHI,Jake Tonges,receiving,0,0,0.0,0,0,1
CHI,Khalil Herbert,receiving,9,57,7.57,1,25,12
CHI,Khari Blasingame,receiving,0,0,0.0,0,0,1
CHI,N'Keal Harry,receiving,7,116,17.33,1,49,9
CHI,Nsimba Webster,receiving,2,14,7.0,0,8,3
CHI,Ryan Griffin,receiving,4,26,3.71,0,18,8
CHI,Trestan Ebner,receiving,2,8,0.8,0,6,8
CHI,Trevon Wesco,receiving,2,26,8.67,0,23,4
CHI,Velus Jones Jr.,receiving,7,107,11.57,1,44,14
