team,player,category,FUM,LOST
DEN,Baron Browning,fumbles,1,0
DEN,Brandon Johnson,fumbles,1,1
DEN,Brett Rypien,fumbles,4,1
DEN,Delarrin Turner-Yell,fumbles,0,0
DEN,Eric Saubert,fumbles,0,0
DEN,Freddie Swain,fumbles,1,0
DEN,Jalen Virgil,fumbles,1,1
DEN,Javonte Williams,fumbles,1,1
DEN,Jerry Jeudy,fumbles,0,0
DEN,Josey Jewell,fumbles,0,0
DEN,Justin Simmons,fumbles,0,0
DEN,Kareem Jackson,fumbles,0,0
DEN,Latavius Murray,fumbles,1,0
DEN,Melvin Gordon III,fumbles,5,2
DEN,Mike Purcell,fumbles,0,0
DEN,Montrell Washington,fumbles,5,1
DEN,Quinn Bailey,fumbles,0,0
DEN,Quinn Meinerz,fumbles,0,0
DEN,Russell Wilson,fumbles,6,2
