team,player,category,REC,YDS,AVG,TD,LONG,TGTS
DEN,Albert Okwuegbunam Jr.,receiving,10,95,6.43,1,25,18
DEN,Andrew Beck,receiving,5,69,5.43,0,27,11
DEN,Brandon Johnson,receiving,6,42,4.25,1,12,14
DEN,Chase Edmonds,receiving,6,61,8.0,0,27,7
DEN,Courtland Sutton,receiving,64,829,11.65,2,51,109
DEN,Devine Ozigbo,receiving,1,3,3.0,0,3,1
DEN,Eric Saubert,receiving,15,148,8.29,1,25,24
DEN,Eric Tomlinson,receiving,9,79,5.54,2,18,13
DEN,Freddie Swain,receiving,4,74,15.67,0,52,6
DEN,Greg Dulcich,receiving,33,411,12.53,2,39,55
DEN,Jalen Virgil,receiving,2,75,18.75,1,66,5
DEN,Javonte Williams,receiving,16,76,3.9,0,13,22
DEN,Jerry Jeudy,receiving,67,972,14.01,6,67,100
DEN,KJ Hamler,receiving,7,165,19.5,0,55,14
DEN,Kendall Hinton,receiving,24,311,13.51,0,35,33
DEN,Latavius Murray,receiving,26,124,5.85,0,15,34
DEN,Marlon Mack,receiving,8,99,9.7,1,66,10
DEN,Melvin Gordon III,receiving,25,223,7.84,0,24,32
DEN,Mike Boone,receiving,9,96,7.31,0,34,15
DEN,Montrell Washington,receiving,4,2,0.29,0,4,9
DEN,Russell Wilson,receiving,1,1,1.0,0,1,1
DEN,Tyler Badie,receiving,1,24,24.0,1,24,1
DEN,Tyrie Cleveland,receiving,2,28,4.67,0,16,7
