team,player,category,CAR,YDS,AVG,TD,LONG
DEN,Andrew Beck,rushing,2,0,0.0,0,1
DEN,Brett Rypien,rushing,6,7,0.67,0,6
DEN,Chase Edmonds,rushing,26,125,4.52,0,25
DEN,Courtland Sutton,rushing,1,5,5.0,0,5
DEN,Devine Ozigbo,rushing,3,4,1.5,0,4
DEN,Javonte Williams,rushing,47,204,4.45,0,17
DEN,Jerry Jeudy,rushing,4,40,7.0,0,14
DEN,KJ Hamler,rushing,2,23,11.5,0,14
DEN,Kendall Hinton,rushing,2,13,6.5,0,13
DEN,Latavius Murray,rushing,160,703,4.29,5,52
DEN,Marlon Mack,rushing,16,84,4.58,1,17
DEN,Melvin Gordon III,rushing,90,318,3.42,2,17
DEN,Mike Boone,rushing,24,102,3.77,0,18
DEN,Montrell Washington,rushing,5,30,6.0,0,19
DEN,Russell Wilson,rushing,55,277,5.65,3,19
DEN,Tyler Badie,rushing,1,0,0.0,0,0
