team,player,category,TOT,SOLO,SACKS,TFL,PD,QB HTS,TD
DET,AJ Parker,defensive,11,10,0.0,0,0,0,0
DET,Aidan Hutchinson,defensive,52,34,9.5,9,3,15,0
DET,Alex Anzalone,defensive,125,77,1.5,7,6,7,0
DET,Alim McNeill,defensive,41,17,1.0,6,0,7,0
DET,Amani Oruwariye,defensive,44,36,0.0,1,3,0,0
DET,Anthony Pittman,defensive,5,3,0.0,0,0,1,0
DET,Austin Bryant,defensive,9,7,0.0,1,1,3,0
DET,Benito Jones,defensive,16,8,1.5,0,2,4,0
DET,Bobby Price,defensive,4,3,0.0,0,0,0,0
DET,C.J. Moore,defensive,12,7,0.0,0,1,1,0
DET,Charles Harris,defensive,14,10,1.0,2,1,4,0
DET,Chase Lucas,defensive,3,1,0.0,0,0,0,0
DET,Chris Board,defensive,21,17,0.0,0,1,1,0
DET,DJ Chark,defensive,1,1,0.0,0,0,0,0
DET,Dan Skipper,defensive,1,1,0.0,0,0,0,0
DET,DeShon Elliott,defensive,96,73,0.0,5,3,3,0
DET,Derrick Barnes,defensive,47,27,1.0,3,1,1,0
DET,Ifeatu Melifonwu,defensive,14,9,0.5,1,2,0,0
DET,Isaiah Buggs,defensive,46,21,1.0,0,2,10,0
DET,Jack Fox,defensive,1,0,0.0,0,0,0,0
DET,James Houston,defensive,12,11,8.0,7,0,11,0
DET,Jared Goff,defensive,2,2,0.0,0,0,0,0
DET,Jarrad Davis,defensive,3,1,0.0,0,1,0,0
DET,Jason Cabinda,defensive,2,2,0.0,0,0,0,0
DET,Jeff Okudah,defensive,73,59,0.0,2,7,0,1
DET,Jerry Jacobs,defensive,42,37,1.0,4,8,1,0
DET,John Cominsky,defensive,30,18,4.0,5,3,12,0
DET,Josh Paschal,defensive,16,10,2.0,2,0,4,0
DET,Josh Reynolds,defensive,1,1,0.0,0,0,0,0
DET,Josh Woods,defensive,14,10,0.0,0,0,0,0
DET,JuJu Hughes,defensive,18,14,1.0,2,0,1,0
DET,Julian Okwara,defensive,17,10,2.0,3,0,3,0
DET,Justin Jackson,defensive,5,3,0.0,0,0,0,0
DET,Kalif Raymond,defensive,0,0,0.0,0,0,0,1
DET,Kerby Joseph,defensive,82,55,0.0,0,8,1,0
DET,Malcolm Rodriguez,defensive,87,62,1.0,8,2,3,0
DET,Michael Brockers,defensive,4,1,0.0,0,1,1,0
DET,Mike Hughes,defensive,51,35,0.0,3,1,2,0
DET,Penei Sewell,defensive,1,1,0.0,0,0,0,0
DET,Quintez Cephus,defensive,3,3,0.0,0,0,0,0
DET,Romeo Okwara,defensive,8,3,2.0,2,0,2,0
DET,Saivion Smith,defensive,1,0,0.0,0,0,0,0
DET,Stanley Berryhill,defensive,1,1,0.0,0,0,0,0
DET,Tom Kennedy,defensive,2,2,0.0,0,0,0,0
DET,Tracy Walker III,defensive,20,11,1.0,1,1,1,0
DET,Will Harris,defensive,57,44,0.0,2,4,1,0
