team,player,category,REC,YDS,AVG,TD,LONG,TGTS
DET,Amon-Ra St. Brown,receiving,106,1161,10.56,6,49,146
DET,Brock Wright,receiving,18,216,10.7,4,51,24
DET,Craig Reynolds,receiving,9,116,9.78,0,36,10
DET,D'Andre Swift,receiving,48,389,8.56,3,25,70
DET,DJ Chark,receiving,30,502,13.57,3,51,52
DET,Jamaal Williams,receiving,12,73,5.13,0,17,16
DET,James Mitchell,receiving,11,113,10.94,1,22,11
DET,Jameson Williams,receiving,1,41,6.83,1,41,9
DET,Jared Goff,receiving,1,5,5.0,0,5,1
DET,Jason Cabinda,receiving,1,5,1.67,0,5,4
DET,Josh Reynolds,receiving,38,479,12.63,3,31,59
DET,Justin Jackson,receiving,12,101,7.93,1,15,19
DET,Kalif Raymond,receiving,47,616,13.69,0,56,64
DET,Maurice Alexander,receiving,1,7,7.0,0,7,1
DET,Penei Sewell,receiving,1,9,9.0,0,9,1
DET,Quintez Cephus,receiving,2,15,7.5,0,9,3
DET,Shane Zylstra,receiving,11,60,3.78,4,14,15
DET,T.J. Hockenson,receiving,26,395,13.04,3,81,43
DET,Tom Kennedy,receiving,8,141,19.6,0,44,15
