team,player,category,FUM,LOST
GB,AJ Dillon,fumbles,1,0
GB,Aaron Jones Sr.,fumbles,5,3
GB,Aaron Rodgers,fumbles,8,4
GB,Adrian Amos,fumbles,0,0
GB,Amari Rodgers,fumbles,5,2
GB,Darnell Savage,fumbles,0,0
GB,Elgton Jenkins,fumbles,0,0
GB,Isaiah McDuffie,fumbles,0,0
GB,Jarran Reed,fumbles,0,0
GB,Jon Runyan,fumbles,0,0
GB,Josh Myers,fumbles,1,0
GB,Kenny Clark,fumbles,0,0
GB,Quay Walker,fumbles,0,0
GB,Randall Cobb,fumbles,1,0
GB,Rashan Gary,fumbles,0,0
GB,Rasul Douglas,fumbles,1,0
GB,Romeo Doubs,fumbles,2,1
GB,Rudy Ford,fumbles,0,0
GB,Samori Toure,fumbles,1,0
GB,Zach Tom,fumbles,0,0
