team,player,category,FUM,LOST
HOU,A.J. Cann,fumbles,0,0
HOU,Amari Rodgers,fumbles,1,0
HOU,Blake Cashman,fumbles,0,0
HOU,Christian Kirksey,fumbles,0,0
HOU,Dameon Pierce,fumbles,4,2
HOU,Dare Ogunbowale,fumbles,0,0
HOU,Davis Mills,fumbles,8,3
HOU,Desmond King II,fumbles,1,1
HOU,Jake Hansen,fumbles,0,0
HOU,Jaleel Johnson,fumbles,0,0
HOU,Jalen Pitre,fumbles,1,0
HOU,Jalen Reeves-Maybin,fumbles,0,0
HOU,Jonathan Greenard,fumbles,0,0
HOU,Jordan Akins,fumbles,1,1
HOU,Kyle Allen,fumbles,4,1
HOU,Laremy Tunsil,fumbles,0,0
HOU,M.J. Stewart,fumbles,0,0
HOU,Rex Burkhead,fumbles,0,0
HOU,Royce Freeman,fumbles,1,1
HOU,Scott Quessenberry,fumbles,1,0
HOU,Tytus Howard,fumbles,0,0
