team,player,category,CAR,YDS,AVG,TD,LONG
IND,Ashton Dulin,rushing,2,8,4.0,0,5
IND,Deon Jackson,rushing,68,236,2.57,1,17
IND,Jonathan Taylor,rushing,192,861,4.6,4,66
IND,Jordan Wilkins,rushing,13,58,4.53,0,9
IND,Kylen Granson,rushing,1,0,0.0,0,0
IND,Matt Ryan,rushing,27,70,1.51,1,39
IND,Michael Pittman Jr.,rushing,3,30,7.5,0,19
IND,Nick Foles,rushing,2,8,4.0,0,8
IND,Nyheim Hines,rushing,18,36,1.59,1,9
IND,Parris Campbell,rushing,5,58,11.6,0,28
IND,Phillip Lindsay,rushing,15,49,2.63,0,15
IND,Sam Ehlinger,rushing,17,87,6.62,0,19
IND,Zack Moss,rushing,76,365,4.44,1,34
