team,player,category,CAR,YDS,AVG,TD,LONG
KC,Chad Henne,rushing,5,-5,-1.0,0,-1
KC,Clyde Edwards-Helaire,rushing,71,302,4.07,3,52
KC,Isiah Pacheco,rushing,170,830,4.38,5,31
KC,Jerick McKinnon,rushing,72,291,3.31,1,30
KC,Kadarius Toney,rushing,5,59,12.6,1,32
KC,Marquez Valdes-Scantling,rushing,1,-3,-3.0,0,-3
KC,Mecole Hardman Jr.,rushing,4,31,5.67,2,25
KC,Michael Burton,rushing,5,7,1.4,0,6
KC,Noah Gray,rushing,1,1,1.0,1,1
KC,Patrick Mahomes,rushing,61,358,5.32,4,20
KC,Ronald Jones,rushing,17,70,4.1,1,13
KC,Skyy Moore,rushing,3,24,9.0,0,12
KC,Travis Kelce,rushing,2,5,2.5,0,4
