team,player,category,TOT,SOLO,SACKS,TFL,PD,QB HTS,TD
LAR,A'Shawn Robinson,defensive,42,22,0.0,2,0,3,0
LAR,Aaron Donald,defensive,49,27,5.0,10,2,11,0
LAR,Ben Skowronek,defensive,1,1,0.0,0,0,0,0
LAR,Bobby Brown III,defensive,8,5,0.0,1,0,0,0
LAR,Bobby Wagner,defensive,140,81,6.0,10,5,10,0
LAR,Bryce Perkins,defensive,1,0,0.0,0,0,0,0
LAR,Brycen Hopkins,defensive,1,1,0.0,0,0,0,0
LAR,Christian Rozeboom,defensive,8,3,0.0,0,0,0,0
LAR,Cobie Durant,defensive,22,15,1.0,1,5,1,1
LAR,Coleman Shelton,defensive,1,0,0.0,0,0,0,0
LAR,Cooper Kupp,defensive,2,2,0.0,0,0,0,0
LAR,Daniel Hardy,defensive,4,0,0.0,0,0,0,0
LAR,Darrell Henderson Jr.,defensive,1,1,0.0,0,0,0,0
LAR,David Long Jr.,defensive,21,18,0.0,0,1,0,0
LAR,Derion Kendrick,defensive,43,36,0.0,0,4,0,0
LAR,Earnest Brown IV,defensive,9,3,0.0,1,0,0,0
LAR,Ernest Jones IV,defensive,114,66,0.0,4,2,1,0
LAR,Grant Haley,defensive,12,7,0.0,0,3,0,0
LAR,Greg Gaines,defensive,36,16,4.0,6,0,6,0
LAR,Jacob Harris,defensive,2,2,0.0,0,0,0,0
LAR,Jake Funk,defensive,1,0,0.0,0,0,0,0
LAR,Jake Gervase,defensive,6,5,0.0,0,0,0,0
LAR,Jake Hummel,defensive,4,1,0.0,0,0,0,0
LAR,Jalen Ramsey,defensive,88,64,2.0,4,18,2,0
LAR,Jared Pinkney,defensive,1,1,0.0,0,0,0,0
LAR,Jonah Williams,defensive,23,11,0.5,0,0,4,0
LAR,Jordan Fuller,defensive,12,9,0.0,0,0,0,0
LAR,Justin Hollins,defensive,26,15,1.0,1,0,3,0
LAR,Keir Thomas II,defensive,4,4,0.0,2,0,0,0
LAR,Kyren Williams,defensive,2,2,0.0,0,0,0,0
LAR,Lance McCutcheon,defensive,2,2,0.0,0,0,0,0
LAR,Larrell Murchison,defensive,6,5,2.0,2,0,2,0
LAR,Leonard Floyd,defensive,59,31,9.0,10,0,22,0
LAR,Malcolm Brown,defensive,1,0,0.0,0,0,0,0
LAR,Marquise Copeland,defensive,31,16,1.0,2,0,2,0
LAR,Matt Gay,defensive,1,0,0.0,0,0,0,0
LAR,Matt Orzech,defensive,3,3,0.0,0,0,0,0
LAR,Matt Skura,defensive,1,0,0.0,0,0,0,0
LAR,Matthew Stafford,defensive,1,1,0.0,0,0,0,0
LAR,Michael Hoecht,defensive,36,23,4.5,4,0,9,0
LAR,Nick Scott,defensive,86,56,0.0,1,5,0,0
LAR,Quentin Lake,defensive,10,8,1.0,1,1,0,0
LAR,Riley Dixon,defensive,3,3,0.0,0,0,0,0
LAR,Rob Havenstein,defensive,2,1,0.0,0,0,0,0
LAR,Robert Rochell,defensive,5,5,0.0,0,0,0,0
LAR,Russ Yeast,defensive,20,16,0.0,1,0,0,0
LAR,TJ Carter,defensive,1,0,0.0,0,0,0,0
LAR,Takk McKinley,defensive,1,0,0.0,0,0,0,0
LAR,Taylor Rapp,defensive,92,58,0.0,2,6,1,0
LAR,Terrell Burgess,defensive,11,7,0.0,0,0,0,0
LAR,Terrell Lewis,defensive,13,9,1.0,2,2,3,0
LAR,Travin Howard,defensive,1,1,0.0,0,0,0,0
LAR,Troy Hill,defensive,67,45,0.0,1,4,0,0
LAR,Tyler Higbee,defensive,2,2,0.0,0,0,0,0
