team,player,category,TOT,SOLO,SACKS,TFL,PD,QB HTS,TD
NE, Team,defensive,1,1,1.0,0,0,0,0
NE,Adrian Phillips,defensive,66,37,0.0,3,3,1,0
NE,Anfernee Jennings,defensive,27,15,1.5,1,2,4,0
NE,Brenden Schooler,defensive,14,11,0.0,0,0,0,0
NE,Carl Davis Jr.,defensive,11,3,1.0,1,0,1,0
NE,Christian Barmore,defensive,23,12,2.5,2,1,7,0
NE,Cody Davis,defensive,6,3,0.0,0,0,0,0
NE,Cole Strange,defensive,1,1,0.0,0,0,0,0
NE,DaMarcus Mitchell,defensive,8,3,0.0,0,0,0,0
NE,Daniel Ekuale,defensive,14,10,2.0,2,1,3,0
NE,Davon Godchaux,defensive,62,25,1.5,3,0,3,0
NE,DeVante Parker,defensive,1,1,0.0,0,0,0,0
NE,Deatrich Wise Jr.,defensive,59,33,7.5,7,3,11,0
NE,Devin McCourty,defensive,71,54,0.0,0,8,0,0
NE,Hunter Henry,defensive,2,2,0.0,0,0,0,0
NE,Isaiah Wynn,defensive,1,1,0.0,0,0,0,0
NE,Ja'Whaun Bentley,defensive,125,62,3.0,5,2,6,0
NE,Jabrill Peppers,defensive,60,35,0.0,2,0,0,0
NE,Jack Jones,defensive,30,25,0.0,3,6,0,1
NE,Jahlani Tavai,defensive,69,37,1.5,2,2,4,0
NE,Jake Bailey,defensive,2,2,0.0,0,0,0,0
NE,Jakobi Meyers,defensive,1,1,0.0,0,0,0,0
NE,Jalen Mills,defensive,31,26,0.0,1,5,1,0
NE,Jamie Collins Sr.,defensive,2,2,0.0,0,0,0,0
NE,Joe Cardona,defensive,1,1,0.0,0,0,0,0
NE,Jonathan Jones,defensive,69,56,0.0,0,11,0,1
NE,Josh Uche,defensive,27,23,11.5,9,0,14,0
NE,Joshuah Bledsoe,defensive,1,0,0.0,0,0,0,0
NE,Kyle Dugger,defensive,78,50,1.0,5,8,2,3
NE,Lawrence Guy,defensive,46,18,2.0,3,0,5,0
NE,Mack Wilson Sr.,defensive,36,15,1.5,2,1,2,0
NE,Marcus Jones,defensive,39,34,0.0,2,7,0,2
NE,Matthew Judon,defensive,60,36,15.5,14,3,28,0
NE,Matthew Slater,defensive,13,7,0.0,0,0,0,0
NE,Myles Bryant,defensive,70,45,0.0,0,6,0,0
NE,Nelson Agholor,defensive,1,1,0.0,0,0,0,0
NE,Pierre Strong Jr.,defensive,6,5,0.0,0,0,0,0
NE,Raekwon McMillan,defensive,35,26,1.0,5,0,1,1
NE,Raleigh Webb,defensive,1,0,0.0,0,0,0,0
NE,Rhamondre Stevenson,defensive,3,3,0.0,0,0,0,0
NE,Sam Roberts,defensive,2,1,0.0,0,0,0,0
NE,Shaun Wade,defensive,2,2,0.0,0,0,0,0
NE,Tae Hayes,defensive,3,2,0.0,0,0,0,0
NE,Tyquan Thornton,defensive,2,2,0.0,0,0,0,0
