team,player,category,CAR,YDS,AVG,TD,LONG
NO,Adam Prentice,rushing,4,9,2.17,0,3
NO,Alvin Kamara,rushing,223,897,3.84,2,27
NO,Andy Dalton,rushing,30,54,1.46,0,14
NO,David Johnson,rushing,12,24,0.43,0,5
NO,Dwayne Washington,rushing,11,38,3.37,0,8
NO,Eno Benjamin,rushing,4,13,3.25,0,8
NO,Jameis Winston,rushing,5,16,3.0,0,6
NO,Jordan Howard,rushing,1,1,1.0,0,1
NO,Latavius Murray,rushing,11,57,5.2,1,10
NO,Mark Ingram II,rushing,62,233,3.63,1,14
NO,Rashid Shaheed,rushing,4,57,14.25,1,44
NO,Taysom Hill,rushing,96,575,5.92,7,60
NO,Tony Jones Jr.,rushing,2,8,4.0,0,6
