team,player,category,FUM,LOST
NYG,Adoree' Jackson,fumbles,0,0
NYG,Azeez Ojulari,fumbles,0,0
NYG,Carter Coughlin,fumbles,0,0
NYG,Dane Belton,fumbles,0,0
NYG,Daniel Bellinger,fumbles,1,1
NYG,Daniel Jones,fumbles,6,3
NYG,Darius Slayton,fumbles,2,1
NYG,Evan Neal,fumbles,0,0
NYG,Gary Brightwell,fumbles,0,0
NYG,Isaiah Hodgins,fumbles,1,1
NYG,Jamie Gillan,fumbles,1,0
NYG,Jason Pinnock,fumbles,1,0
NYG,Jaylon Smith,fumbles,0,0
NYG,Julian Love,fumbles,0,0
NYG,Kayvon Thibodeaux,fumbles,0,0
NYG,Leonard Williams,fumbles,0,0
NYG,Oshane Ximines,fumbles,1,0
NYG,Richie James,fumbles,3,3
NYG,Saquon Barkley,fumbles,1,0
NYG,Tyrod Taylor,fumbles,2,1
