team,player,category,FUM,LOST
NYJ,Alijah Vera-Tucker,fumbles,0,0
NYJ,Bam Knight,fumbles,2,0
NYJ,Braden Mann,fumbles,1,0
NYJ,Braxton Berrios,fumbles,1,0
NYJ,Breece Hall,fumbles,1,1
NYJ,C.J. Mosley,fumbles,0,0
NYJ,C.J. Uzomah,fumbles,0,0
NYJ,Carl Lawson,fumbles,0,0
NYJ,Chris Streveler,fumbles,1,0
NYJ,Elijah Moore,fumbles,1,0
NYJ,Garrett Wilson,fumbles,2,1
NYJ,Joe Flacco,fumbles,5,4
NYJ,Lamarcus Joyner,fumbles,0,0
NYJ,Max Mitchell,fumbles,0,0
NYJ,Michael Carter,fumbles,2,1
NYJ,Mike White,fumbles,2,1
NYJ,Quinnen Williams,fumbles,0,0
NYJ,Tyler Conklin,fumbles,2,0
NYJ,Zach Wilson,fumbles,1,1
