team,player,category,TOT,SOLO,SACKS,TFL,PD,QB HTS,TD
PHI, Team,defensive,1,1,1.0,0,0,0,0
PHI,A.J. Brown,defensive,2,2,0.0,0,0,0,0
PHI,Andre Chachere,defensive,5,3,0.0,0,0,0,0
PHI,Arryn Siposs,defensive,2,2,0.0,0,0,0,0
PHI,Avonte Maddox,defensive,43,28,1.0,3,3,2,0
PHI,Boston Scott,defensive,2,2,0.0,0,0,0,0
PHI,Brandon Graham,defensive,35,19,11.0,11,1,16,0
PHI,C.J. Gardner-Johnson,defensive,67,61,1.0,5,8,2,0
PHI,Christian Elliss,defensive,11,9,0.0,0,0,0,0
PHI,Dallas Goedert,defensive,1,1,0.0,0,0,0,0
PHI,Darius Slay,defensive,55,40,0.0,0,14,0,0
PHI,Fletcher Cox,defensive,43,23,7.0,7,0,14,0
PHI,Gardner Minshew II,defensive,1,1,0.0,0,0,0,0
PHI,Haason Reddick,defensive,49,35,16.0,11,3,26,0
PHI,Jack Stoll,defensive,2,2,0.0,0,0,0,0
PHI,Jalen Hurts,defensive,2,2,0.0,0,0,0,0
PHI,James Bradberry IV,defensive,44,39,0.0,2,17,0,1
PHI,Javon Hargrave,defensive,60,37,11.0,10,2,16,0
PHI,Jordan Davis,defensive,18,8,0.0,1,1,0,0
PHI,Jordan Mailata,defensive,1,1,0.0,0,0,0,0
PHI,Josh Jobe,defensive,1,0,0.0,0,0,0,0
PHI,Josh Sweat,defensive,48,31,11.0,15,1,23,1
PHI,Josiah Scott,defensive,26,19,0.0,2,8,0,0
PHI,K'Von Wallace,defensive,28,21,0.0,1,2,0,0
PHI,Kyron Johnson,defensive,8,6,0.0,0,0,0,0
PHI,Kyzir White,defensive,110,66,1.5,3,7,3,0
PHI,Landon Dickerson,defensive,1,1,0.0,0,0,0,0
PHI,Linval Joseph,defensive,20,8,0.5,0,0,1,0
PHI,Marcus Epps,defensive,94,70,0.0,4,6,0,0
PHI,Marlon Tuipulotu,defensive,16,8,1.0,1,0,2,0
PHI,Marvin Wilson,defensive,4,2,0.0,0,0,0,0
PHI,Milton Williams,defensive,36,19,4.0,9,2,6,0
PHI,Nakobe Dean,defensive,13,9,0.0,1,0,0,0
PHI,Ndamukong Suh,defensive,10,4,1.0,0,0,2,0
PHI,Patrick Johnson,defensive,11,7,0.0,0,0,3,0
PHI,Quez Watkins,defensive,3,3,0.0,0,0,0,0
PHI,Reed Blankenship,defensive,34,20,0.0,0,2,0,0
PHI,Rick Lovato,defensive,3,1,0.0,0,0,0,0
PHI,Robert Quinn,defensive,2,2,0.0,0,0,2,0
PHI,Shaun Bradley,defensive,7,5,0.0,0,0,0,0
PHI,T.J. Edwards,defensive,159,99,2.0,10,7,5,0
PHI,Zach Pascal,defensive,7,6,0.0,0,0,0,0
PHI,Zech McPhearson,defensive,14,12,1.0,1,1,1,0
