team,player,category,TOT,SOLO,SACKS,TFL,PD,QB HTS,TD
PIT,Ahkello Witherspoon,defensive,20,17,0.0,0,2,0,0
PIT,Alex Highsmith,defensive,63,38,14.5,12,1,20,0
PIT,Arthur Maulet,defensive,59,38,2.0,2,3,2,0
PIT,Benny Snell Jr.,defensive,8,4,0.0,0,0,0,0
PIT,Cameron Heyward,defensive,74,39,10.5,14,4,23,0
PIT,Cameron Sutton,defensive,43,35,0.0,1,15,0,0
PIT,Carlos Davis,defensive,1,1,1.0,1,0,1,0
PIT,Chase Claypool,defensive,2,2,0.0,0,0,0,0
PIT,Chris Wormley,defensive,29,13,0.5,3,0,1,0
PIT,Christian Kuntz,defensive,1,1,0.0,0,0,0,0
PIT,Chukwuma Okorafor,defensive,1,0,0.0,0,0,0,0
PIT,Connor Heyward,defensive,9,3,0.0,0,0,0,0
PIT,Damontae Kazee,defensive,20,11,0.0,0,2,0,0
PIT,DeMarvin Leal,defensive,14,8,0.0,1,3,0,0
PIT,Derek Watt,defensive,4,3,0.0,0,0,0,0
PIT,Devin Bush,defensive,81,44,0.0,2,2,2,0
PIT,Diontae Johnson,defensive,2,2,0.0,0,0,0,0
PIT,Elijah Riley,defensive,5,3,0.0,0,0,0,0
PIT,George Pickens,defensive,1,1,0.0,0,0,0,0
PIT,Gunner Olszewski,defensive,2,1,0.0,0,0,0,0
PIT,Isaiahh Loudermilk,defensive,7,4,0.0,1,0,0,0
PIT,James Pierre,defensive,29,21,0.0,0,4,0,0
PIT,Jamir Jones,defensive,10,6,0.0,0,1,0,0
PIT,Jaylen Warren,defensive,5,4,0.0,0,0,0,0
PIT,Josh Jackson,defensive,6,5,0.0,0,0,0,0
PIT,Kenny Pickett,defensive,2,2,0.0,0,0,0,0
PIT,Larry Ogunjobi,defensive,48,25,1.5,7,0,11,0
PIT,Levi Wallace,defensive,48,33,0.0,0,13,0,0
PIT,Malik Reed,defensive,25,8,1.0,1,2,4,0
PIT,Marcus Allen,defensive,12,8,0.0,0,0,0,0
PIT,Mark Robinson,defensive,9,3,0.0,0,0,0,0
PIT,Matthew Wright,defensive,2,2,0.0,0,0,0,0
PIT,Miles Boykin,defensive,10,9,0.0,0,0,0,0
PIT,Miles Killebrew,defensive,4,1,0.0,0,0,0,0
PIT,Minkah Fitzpatrick,defensive,96,56,0.0,1,11,1,1
PIT,Montravius Adams,defensive,26,12,0.0,1,1,0,0
PIT,Myles Jack,defensive,104,61,0.0,3,3,1,0
PIT,Najee Harris,defensive,2,2,0.0,0,0,0,0
PIT,Pat Freiermuth,defensive,1,1,0.0,0,0,0,0
PIT,Robert Spillane,defensive,79,52,1.0,4,4,2,0
PIT,Ryan Anderson,defensive,1,1,0.0,1,0,0,0
PIT,T.J. Watt,defensive,39,27,5.5,8,5,12,0
PIT,Terrell Edmunds,defensive,70,41,2.0,3,5,2,0
PIT,Tre Norwood,defensive,23,17,0.0,2,0,0,0
PIT,Tyson Alualu,defensive,13,5,0.5,0,1,2,0
