team,player,category,FUM,LOST
SEA,Abraham Lucas,fumbles,0,0
SEA,Austin Blythe,fumbles,0,0
SEA,Charles Cross,fumbles,0,0
SEA,DK Metcalf,fumbles,2,2
SEA,Darrell Taylor,fumbles,0,0
SEA,DeeJay Dallas,fumbles,1,0
SEA,Geno Smith,fumbles,8,4
SEA,Joey Blount,fumbles,0,0
SEA,Jordyn Brooks,fumbles,0,0
SEA,Josh Jones,fumbles,0,0
SEA,Michael Dickson,fumbles,1,1
SEA,Mike Jackson,fumbles,1,0
SEA,Rashaad Penny,fumbles,1,0
SEA,Riq Woolen,fumbles,1,0
SEA,Travis Homer,fumbles,1,1
SEA,Tyler Lockett,fumbles,2,2
SEA,Uchenna Nwosu,fumbles,0,0
SEA,Will Dissly,fumbles,0,0
SEA,Xavier Crawford,fumbles,1,1
