team,player,category,FUM,LOST
SF,Azeez Al-Shaair,fumbles,0,0
SF,Brandon Aiyuk,fumbles,1,1
SF,Charvarius Ward,fumbles,0,0
SF,Christian McCaffrey,fumbles,1,0
SF,Deebo Samuel,fumbles,3,2
SF,Dre Greenlaw,fumbles,0,0
SF,George Kittle,fumbles,1,1
SF,Jake Brendel,fumbles,1,0
SF,Jauan Jennings,fumbles,1,0
SF,Jeff Wilson Jr.,fumbles,2,2
SF,Jimmy Garoppolo,fumbles,3,2
SF,Jordan Willis,fumbles,0,0
SF,Kerry Hyder Jr.,fumbles,0,0
SF,Marlon Mack,fumbles,0,0
SF,Michael Dwumfour,fumbles,0,0
SF,Ray-Ray McCloud III,fumbles,2,0
SF,Ross Dwelley,fumbles,0,0
SF,Samson Ebukam,fumbles,0,0
SF,Samuel Womack III,fumbles,0,0
SF,Trey Lance,fumbles,1,0
