team,player,category,REC,YDS,AVG,TD,LONG,TGTS
SF,Brandon Aiyuk,receiving,78,1015,13.89,8,54,114
SF,Charlie Woerner,receiving,0,0,0.0,0,0,2
SF,Christian McCaffrey,receiving,52,464,9.45,4,38,65
SF,Danny Gray,receiving,1,10,2.5,0,10,7
SF,Deebo Samuel,receiving,56,632,11.09,2,57,94
SF,Elijah Mitchell,receiving,3,7,1.5,0,5,4
SF,George Kittle,receiving,60,765,12.88,11,54,86
SF,Jauan Jennings,receiving,35,416,10.81,1,44,56
SF,Jeff Wilson Jr.,receiving,10,91,6.61,0,16,13
SF,Kyle Juszczyk,receiving,19,200,11.51,1,35,23
SF,Ray-Ray McCloud III,receiving,14,243,13.88,1,42,25
SF,Ross Dwelley,receiving,3,105,26.25,1,56,5
SF,Tevin Coleman,receiving,3,44,14.7,1,30,3
SF,Tyler Kroft,receiving,4,57,14.25,0,28,5
SF,Tyrion Davis-Price,receiving,0,0,0.0,0,0,2
