team,player,category,CAR,YDS,AVG,TD,LONG
SF,Brandon Aiyuk,rushing,2,23,11.5,0,16
SF,Brock Purdy,rushing,22,13,0.89,1,13
SF,Christian McCaffrey,rushing,159,746,4.71,6,38
SF,Danny Gray,rushing,1,9,9.0,0,9
SF,Deebo Samuel,rushing,42,232,5.02,3,51
SF,Elijah Mitchell,rushing,45,279,6.86,2,37
SF,Jeff Wilson Jr.,rushing,92,468,4.92,2,41
SF,Jimmy Garoppolo,rushing,23,33,1.56,2,6
SF,Jordan Mason,rushing,43,258,6.62,1,55
SF,Josh Johnson,rushing,2,3,1.5,0,4
SF,Kyle Juszczyk,rushing,7,26,4.25,1,9
SF,Ray-Ray McCloud III,rushing,4,78,36.65,1,71
SF,Tevin Coleman,rushing,12,26,1.85,1,14
SF,Trey Lance,rushing,16,67,4.25,0,13
SF,Tyrion Davis-Price,rushing,34,99,3.22,0,20
