team,player,category,FUM,LOST
TEN,Amani Hooker,fumbles,1,0
TEN,Ben Jones,fumbles,0,0
TEN,Bud Dupree,fumbles,0,0
TEN,C.J. Board,fumbles,1,0
TEN,Derrick Henry,fumbles,6,3
TEN,Josh Thompson,fumbles,1,0
TEN,Joshua Dobbs,fumbles,4,2
TEN,Kristian Fulton,fumbles,0,0
TEN,Kyle Philips,fumbles,2,2
TEN,Malik Willis,fumbles,3,2
TEN,Mason Kinsey,fumbles,1,0
TEN,Nick Westbrook-Ikhine,fumbles,0,0
TEN,Rashad Weaver,fumbles,0,0
TEN,Robert Woods,fumbles,1,1
TEN,Ryan Tannehill,fumbles,3,2
TEN,Teair Tart,fumbles,0,0
TEN,Tre Avery,fumbles,0,0
TEN,Treylon Burks,fumbles,0,0
