team,player,category,REC,YDS,AVG,TD,LONG,TGTS
TEN,Austin Hooper,receiving,41,444,10.37,2,24,60
TEN,C.J. Board,receiving,1,6,6.0,0,6,1
TEN,Chig Okonkwo,receiving,32,450,15.23,3,48,46
TEN,Chris Conley,receiving,4,46,11.1,0,27,5
TEN,Cody Hollister,receiving,3,54,9.5,0,27,5
TEN,Derrick Henry,receiving,33,398,11.06,0,69,41
TEN,Dontrell Hilliard,receiving,21,177,8.78,4,31,26
TEN,Geoff Swaim,receiving,12,58,2.96,1,13,16
TEN,Hassan Haskins,receiving,11,57,4.57,0,10,12
TEN,Jonathan Ward,receiving,2,7,3.5,0,4,3
TEN,Josh Gordon,receiving,0,0,0.0,0,0,1
TEN,Julius Chestnut,receiving,3,41,18.5,0,33,3
TEN,Kyle Philips,receiving,8,78,5.75,0,21,13
TEN,Mason Kinsey,receiving,1,3,3.0,0,3,1
TEN,Nick Westbrook-Ikhine,receiving,25,397,10.32,3,63,50
TEN,Racey McMath,receiving,2,40,13.33,0,39,8
TEN,Robert Woods,receiving,53,527,9.07,2,41,91
TEN,Treylon Burks,receiving,33,444,12.53,1,51,54
