team,player,category,CAR,YDS,AVG,TD,LONG
TEN,Chig Okonkwo,rushing,3,2,0.67,0,6
TEN,Derrick Henry,rushing,349,1538,4.3,13,56
TEN,Dontrell Hilliard,rushing,22,145,4.54,0,30
TEN,Hassan Haskins,rushing,25,93,4.38,0,12
TEN,Jonathan Ward,rushing,5,25,2.75,0,12
TEN,Joshua Dobbs,rushing,8,44,5.2,0,11
TEN,Julius Chestnut,rushing,9,12,1.15,0,5
TEN,Malik Willis,rushing,27,123,4.21,1,17
TEN,Racey McMath,rushing,1,4,4.0,0,4
TEN,Ryan Tannehill,rushing,34,98,3.28,2,17
TEN,Treylon Burks,rushing,4,47,11.75,0,20
