team,player,category,CAR,YDS,AVG,TD,LONG
WSH,Antonio Gibson,rushing,149,546,3.68,3,20
WSH,Armani Rogers,rushing,2,26,13.0,0,24
WSH,Brian Robinson Jr.,rushing,205,797,3.88,2,24
WSH,Carson Wentz,rushing,22,86,4.59,1,18
WSH,Curtis Samuel,rushing,38,187,6.1,1,21
WSH,Dyami Brown,rushing,1,15,15.0,0,15
WSH,J.D. McKissic,rushing,22,95,4.34,0,33
WSH,Jahan Dotson,rushing,2,-7,-3.5,0,3
WSH,Jaret Patterson,rushing,17,78,4.6,0,14
WSH,Jonathan Williams,rushing,37,152,4.57,0,23
WSH,Reggie Bonnafon,rushing,3,8,2.7,0,5
WSH,Sam Howell,rushing,5,35,7.0,1,10
WSH,Taylor Heinicke,rushing,28,96,2.76,1,15
WSH,Terry McLaurin,rushing,7,29,3.92,0,12
