team,player,category,TOT,SOLO,SACKS,TFL,PD,QB HTS,TD
ARI,Andre Chachere,defensive,30,23,0.0,0,3,0,0
ARI,Antonio Hamilton Sr.,defensive,40,29,0.0,0,11,0,0
ARI,BJ Ojulari,defensive,40,23,4.0,5,1,6,0
ARI,Ben Stille,defensive,8,6,1.0,0,0,1,0
ARI,Blake Gillikin,defensive,2,1,0.0,0,0,0,0
ARI,Bobby Price,defensive,4,3,0.0,0,0,0,0
ARI,Budda Baker,defensive,87,58,0.0,5,0,0,0
ARI,Cameron Thomas,defensive,22,13,0.0,3,1,1,1
ARI,Carlos Watkins,defensive,7,4,1.0,1,1,1,0
ARI,Christian Matthew,defensive,1,1,0.0,0,0,0,0
ARI,D.J. Humphries,defensive,1,1,0.0,0,0,0,0
ARI,Dan Chisena,defensive,2,0,0.0,0,0,0,0
ARI,Dante Stills,defensive,47,18,3.5,5,0,5,0
ARI,Dennis Gardeck,defensive,46,36,6.0,7,4,12,0
ARI,Divaad Wilson,defensive,5,4,0.0,0,0,0,0
ARI,Elijah Higgins,defensive,3,0,0.0,0,0,0,0
ARI,Eric Banks,defensive,2,2,0.0,0,0,0,0
ARI,Ezekiel Turner,defensive,20,8,0.0,0,0,0,0
ARI,Garrett Williams,defensive,23,19,0.0,1,2,0,0
ARI,Geoff Swaim,defensive,1,1,0.0,0,0,0,0
ARI,Greg Dortch,defensive,2,1,0.0,0,0,0,0
ARI,Hollywood Brown,defensive,2,2,0.0,0,0,0,0
ARI,Jalen Thompson,defensive,78,59,1.0,5,9,3,0
ARI,Jesse Luketa,defensive,11,4,0.0,1,0,1,0
ARI,Joey Blount,defensive,7,3,0.0,0,1,0,0
ARI,Jonathan Ledbetter,defensive,46,21,1.5,1,0,4,0
ARI,Josh Woods,defensive,61,33,0.5,2,1,1,0
ARI,K'Von Wallace,defensive,43,26,0.0,1,4,0,0
ARI,Kei'Trel Clark,defensive,43,37,0.0,2,4,0,0
ARI,Kevin Strong,defensive,46,25,2.5,5,1,3,0
ARI,Kris Boyd,defensive,2,1,0.0,0,0,0,0
ARI,Krys Barnes,defensive,55,35,0.0,3,6,1,0
ARI,Kyler Murray,defensive,1,1,0.0,0,0,0,0
ARI,Kyzir White,defensive,90,53,2.0,9,3,2,0
ARI,L.J. Collier,defensive,2,2,0.0,0,0,0,0
ARI,Leki Fotu,defensive,28,15,2.5,5,0,2,0
ARI,Marco Wilson,defensive,52,41,0.0,0,4,0,0
ARI,Naquan Jones,defensive,9,3,0.0,1,0,0,0
ARI,Owen Pappoe,defensive,11,5,0.0,0,1,1,0
ARI,Phil Hoskins,defensive,8,2,0.0,0,0,0,0
ARI,Rondale Moore,defensive,1,1,0.0,0,0,0,0
ARI,Roy Lopez,defensive,42,22,0.0,2,0,1,0
ARI,Starling Thomas V,defensive,38,35,0.0,1,5,0,0
ARI,Trey McBride,defensive,3,2,0.0,0,0,0,0
ARI,Victor Dimukeje,defensive,32,21,4.0,5,1,8,0
ARI,Zach Pascal,defensive,5,3,0.0,0,0,0,0
ARI,Zaven Collins,defensive,41,27,3.5,6,3,6,0
