team,player,category,CAR,YDS,AVG,TD,LONG
ARI,Blake Gillikin,rushing,1,10,10.0,0,10
ARI,Clayton Tune,rushing,8,30,1.9,1,11
ARI,Damien Williams,rushing,11,43,3.0,0,9
ARI,Emari Demercado,rushing,58,284,4.64,2,49
ARI,Ezekiel Turner,rushing,1,2,2.0,0,2
ARI,Greg Dortch,rushing,1,5,5.0,0,5
ARI,Hollywood Brown,rushing,2,23,11.5,0,29
ARI,James Conner,rushing,208,1040,5.12,7,44
ARI,Joshua Dobbs,rushing,47,258,5.41,3,44
ARI,Keaontay Ingram,rushing,35,74,2.17,0,14
ARI,Kyler Murray,rushing,44,244,5.38,3,33
ARI,Michael Carter,rushing,22,149,6.62,0,21
ARI,Rondale Moore,rushing,28,178,6.06,1,45
ARI,Tony Jones Jr.,rushing,5,25,7.9,0,13
