team,player,category,CAR,YDS,AVG,TD,LONG
BAL,Devin Duvernay,rushing,4,15,2.5,0,8
BAL,Gus Edwards,rushing,198,810,4.3,13,42
BAL,J.K. Dobbins,rushing,8,22,2.8,1,4
BAL,Justice Hill,rushing,84,387,5.51,3,41
BAL,Keaton Mitchell,rushing,47,396,8.65,2,60
BAL,Kenyan Drake,rushing,1,0,0.0,0,0
BAL,Lamar Jackson,rushing,148,821,5.5,5,30
BAL,Mark Andrews,rushing,1,0,0.0,0,0
BAL,Melvin Gordon III,rushing,26,81,3.62,1,22
BAL,Rashod Bateman,rushing,1,18,18.0,0,18
BAL,Tyler Huntley,rushing,15,55,2.5,0,11
BAL,Zay Flowers,rushing,8,56,7.36,1,37
