team,player,category,REC,YDS,AVG,TD,LONG,TGTS
CAR,Adam Thielen,receiving,103,1014,9.0,4,32,137
CAR,Chuba Hubbard,receiving,39,233,5.53,0,25,44
CAR,DJ Chark,receiving,35,525,14.82,5,47,66
CAR,Giovanni Ricci,receiving,1,2,2.0,0,2,1
CAR,Hayden Hurst,receiving,18,184,9.99,1,48,32
CAR,Ian Thomas,receiving,5,56,8.0,0,28,9
CAR,Ihmir Smith-Marsette,receiving,8,51,7.08,0,18,10
CAR,Jonathan Mingo,receiving,43,418,8.8,0,40,85
CAR,Laviska Shenault Jr.,receiving,10,60,6.25,0,14,10
CAR,Michael Strachan,receiving,1,45,22.5,0,45,3
CAR,Miles Sanders,receiving,27,154,4.54,0,14,41
CAR,Raheem Blackshear,receiving,6,45,6.4,0,19,7
CAR,Stephen Sullivan,receiving,12,125,9.0,0,20,24
CAR,Terrace Marshall Jr.,receiving,19,139,6.21,0,14,33
CAR,Tommy Tremble,receiving,23,194,7.47,3,30,32
