team,player,category,CAR,YDS,AVG,TD,LONG
CHI,Cole Kmet,rushing,3,2,0.67,0,1
CHI,D'Onta Foreman,rushing,109,425,3.41,4,22
CHI,DJ Moore,rushing,4,21,3.85,1,16
CHI,Darnell Mooney,rushing,2,5,2.5,0,3
CHI,Darrynton Evans,rushing,30,105,3.2,1,12
CHI,Justin Fields,rushing,124,657,5.16,4,39
CHI,Khalil Herbert,rushing,132,611,4.23,2,38
CHI,Khari Blasingame,rushing,8,26,3.3,0,6
CHI,Nathan Peterman,rushing,2,-4,-2.0,0,-2
CHI,Roschon Johnson,rushing,81,352,4.57,2,29
CHI,Trent Taylor,rushing,1,-2,-2.0,0,-2
CHI,Tyler Scott,rushing,7,41,4.9,0,16
CHI,Tyson Bagent,rushing,23,109,4.1,2,20
CHI,Velus Jones Jr.,rushing,8,51,5.33,0,17
